performance_id,shipment_id,actual_delivery_time_hr,delay_flag,delay_reason,cost_per_shipment_usd,on_time_delivery,customer_satisfaction_score
142,142,32.71,0,Mechanical Issue,1394.94,0,1
143,143,41.62,1,Documentation Issue,135.09,0,1
144,144,27.72,0,Traffic,1332.28,0,3
145,145,53.78,1,Documentation Issue,1053.06,1,1
146,146,107.1,1,None,600.41,1,2
147,147,10.07,1,Weather,1346.88,0,4
148,148,115.94,1,Customs,1620.58,1,5
149,149,86.46,1,Operational Delay,618.41,0,1
150,150,22.8,0,Traffic,536.26,1,2
151,151,132.33,0,Weather,1247.73,0,4
152,152,104.49,1,Traffic,1518.18,1,3
153,153,23.13,1,Operational Delay,891.78,0,4
154,154,35.53,0,Customs,986.37,1,1
155,155,29.05,0,Mechanical Issue,1346.9,0,3
156,156,56.31,1,Customs,1369.91,0,4
157,157,119.88,0,Mechanical Issue,1812.9,0,2
158,158,26.72,0,Weather,918.94,0,2
159,159,107.3,0,Weather,145.09,0,2
160,160,85.8,0,Customs,783.69,1,1
161,161,6.1,1,Weather,406.54,0,4
162,162,37.98,1,Traffic,165.38,1,1
163,163,79.95,0,Operational Delay,277.07,1,4
164,164,20.68,1,Weather,1708.15,0,4
165,165,118.15,0,None,238.36,1,3
166,166,54.03,1,Weather,172.67,0,2
167,167,91.88,0,Weather,1775.71,0,2
168,168,65.92,0,Mechanical Issue,1266.73,0,5
169,169,93.91,1,Mechanical Issue,1685.54,1,4
170,170,34.89,0,Customs,1549.3,1,3
171,171,41.72,0,Operational Delay,1725.02,1,4
172,172,33.5,0,Mechanical Issue,64.26,1,1
173,173,53.25,1,Weather,201.74,1,3
174,174,83.41,1,None,180.16,1,4
175,175,76.57,0,Traffic,254.66,0,3
176,176,89.43,0,None,552.13,1,3
177,177,69.01,1,Mechanical Issue,172.95,0,2
178,178,11.65,1,Operational Delay,623.28,0,3
179,179,67.52,1,None,1048.45,0,5
180,180,126.44,0,Mechanical Issue,300.18,1,2
181,181,114.99,0,Traffic,794.38,0,5
182,182,94.58,0,None,553.3,1,2
183,183,99.43,0,Documentation Issue,723.84,0,4
184,184,101.58,0,Weather,369.63,1,5
185,185,66.03,1,Traffic,395.22,1,1
186,186,84.13,1,Weather,1497.68,0,4
187,187,38.18,1,Customs,1304.44,0,5
188,188,87.35,0,Documentation Issue,216.32,1,3
189,189,106.32,0,Documentation Issue,1104.05,1,4
190,190,127.53,1,Customs,1195.46,1,4
191,191,68.87,0,Operational Delay,1208.64,1,1
192,192,117.81,1,Documentation Issue,332.8,0,5
193,193,9.65,1,Customs,951.29,0,1
194,194,10.45,1,Weather,1093.61,1,3
195,195,78.02,0,Weather,1833.78,0,3
196,196,10.9,0,Weather,232.47,1,3
197,197,88.63,1,Operational Delay,1868.07,1,1
198,198,83.77,0,Operational Delay,1711.07,0,2
199,199,137.57,1,Customs,715.9,1,4
200,200,25.06,1,None,978.53,1,1
201,201,26.46,1,Operational Delay,139.69,1,2
202,202,44.43,1,Operational Delay,43.12,1,1
203,203,82.83,0,Customs,664.52,0,5
204,204,92.36,0,Customs,153.13,1,2
205,205,35.65,1,Traffic,1984.66,0,5
206,206,51.55,0,None,1930.84,1,4
207,207,107.77,0,Weather,431.59,1,2
208,208,67.53,1,Customs,1866.36,0,4
209,209,98.44,0,None,557.43,0,3
210,210,43.35,1,Traffic,1964.25,1,2
211,211,58.74,0,None,40.24,1,5
212,212,54.33,0,Documentation Issue,564.69,0,5
213,213,18.42,1,Mechanical Issue,121.04,1,1
214,214,137.28,1,Weather,486.99,1,3
215,215,32.34,0,None,588.93,0,5
216,216,25.52,0,None,491.34,0,4
217,217,52.08,1,None,891.18,1,2
218,218,36.97,1,Customs,1933.74,0,3
219,219,36.3,1,None,250.69,1,4
220,220,136.59,1,Customs,1878.54,1,3
221,221,38.5,1,Customs,487.63,0,2
222,222,78.2,0,None,1740.14,0,3
223,223,13.69,0,Traffic,1791.87,1,5
224,224,68.07,1,Customs,1639.96,0,3
225,225,138.16,1,None,1449.81,1,3
226,226,129.73,0,Mechanical Issue,398.31,0,2
227,227,32.95,1,Documentation Issue,1421.33,0,3
228,228,55.49,1,Documentation Issue,488.09,1,3
229,229,64.69,0,Operational Delay,803.36,1,3
230,230,119.86,1,Traffic,954.19,1,3
231,231,77.23,0,Documentation Issue,219.69,0,4
232,232,8.58,1,None,1624.35,1,1
233,233,116.84,0,Weather,1926.56,0,4
234,234,29.97,1,Mechanical Issue,1022.16,0,4
235,235,66.09,1,Traffic,879.53,1,5
236,236,84.71,0,Documentation Issue,156.87,1,2
237,237,56.91,0,Traffic,1354.58,0,2
238,238,90.7,1,Operational Delay,1454.34,1,4
239,239,55.03,0,Customs,1230.15,1,2
240,240,20.02,0,Customs,1490.19,1,2
241,241,24.72,1,Documentation Issue,1214.45,1,4
242,242,85.91,0,Traffic,1824.04,1,5
243,243,117.46,0,Weather,326.27,1,1
244,244,101.43,0,Weather,1277.63,1,2
245,245,136.24,1,Mechanical Issue,1625.26,1,5
246,246,50.14,1,Mechanical Issue,1618.89,0,1
247,247,126.21,0,Customs,61.66,0,1
248,248,26.12,0,Operational Delay,724.65,1,2
249,249,46.02,1,Documentation Issue,1452.89,1,2
250,250,81.52,1,None,1661.95,0,2
251,251,77.06,0,None,457.08,1,3
252,252,73.19,1,Documentation Issue,166.7,0,1
253,253,63.4,0,Traffic,1296.36,0,1
254,254,104.52,1,Weather,449.42,0,4
255,255,71.75,0,Mechanical Issue,1024.4,0,4
256,256,21.71,0,Weather,1663.5,1,5
257,257,97.37,0,Customs,1784.68,0,5
258,258,69.14,1,Documentation Issue,654.66,0,4
259,259,128.78,0,Mechanical Issue,181.7,1,4
260,260,36.76,1,Documentation Issue,1520.26,1,2
261,261,97.45,0,Documentation Issue,63.84,0,2
262,262,60.84,1,None,1149.96,1,1
263,263,133.09,0,Documentation Issue,1521.31,1,3
264,264,86.51,0,Traffic,115.75,0,5
265,265,117.76,1,Operational Delay,954.66,0,2
266,266,102.92,1,Documentation Issue,1118.84,0,1
267,267,39.8,0,Traffic,181.98,0,1
268,268,138.69,0,Traffic,264.5,0,3
269,269,139.66,1,Mechanical Issue,477.63,1,2
270,270,89.96,0,Weather,1960.77,0,5
271,271,82.77,1,Traffic,1248.98,1,4
272,272,71.71,1,Documentation Issue,726.46,1,3
273,273,89.79,0,Traffic,423.63,0,5
274,274,10.39,0,Operational Delay,30.7,1,1
275,275,105.27,1,None,32.48,0,3
276,276,86.67,0,Documentation Issue,650.5,0,1
277,277,55.86,0,Operational Delay,239.89,1,3
278,278,50.67,0,Weather,1447.67,1,3
279,279,49.75,1,Weather,115.47,0,5
280,280,23.4,1,Operational Delay,1661.87,1,2
281,281,108.91,0,None,1307.87,1,3
282,282,32.28,1,Traffic,66.16,1,3
283,283,126.24,1,Operational Delay,30.88,0,2
284,284,21.8,1,Mechanical Issue,770.03,0,4
285,285,134.05,1,Weather,739.42,0,4
286,286,37.46,0,Weather,516.38,0,4
287,287,74.45,1,Mechanical Issue,1583.93,1,4
288,288,111.37,0,Operational Delay,741.02,1,5
289,289,82.89,1,Documentation Issue,1982.2,1,3
290,290,133.0,1,Customs,1578.61,0,3
291,291,73.99,0,Documentation Issue,1489.05,0,3
292,292,35.65,1,Documentation Issue,334.52,0,1
293,293,72.43,1,Documentation Issue,1131.65,0,4
294,294,91.44,1,None,864.34,0,4
295,295,117.5,1,Mechanical Issue,341.31,0,1
296,296,30.94,0,Customs,1073.21,1,1
297,297,71.69,0,None,1762.95,0,2
298,298,48.02,0,Mechanical Issue,1587.61,1,3
299,299,100.92,0,Operational Delay,329.81,0,5
300,300,126.18,1,Customs,601.26,0,4
301,301,11.04,1,Weather,463.68,0,3
302,302,13.77,0,Documentation Issue,1097.27,1,4
303,303,44.14,1,Traffic,1318.94,1,4
304,304,61.99,0,Customs,537.04,0,3
305,305,127.39,1,Operational Delay,1478.47,0,4
306,306,34.9,0,None,1966.81,0,1
307,307,127.84,1,Customs,768.39,0,3
308,308,42.96,1,Traffic,165.53,1,5
309,309,111.43,1,Operational Delay,865.14,0,1
310,310,42.86,0,Customs,1097.67,0,1
311,311,116.43,1,None,567.52,0,1
312,312,13.93,1,Traffic,1003.94,1,5
313,313,132.53,1,None,899.89,1,2
314,314,84.47,0,None,1224.44,0,2
315,315,94.03,0,Traffic,104.56,0,5
316,316,133.61,1,Operational Delay,595.43,0,2
317,317,129.76,0,Customs,514.39,0,4
318,318,14.77,0,None,289.79,0,1
319,319,119.95,0,Weather,1490.44,0,4
320,320,119.84,0,Traffic,1051.03,1,3
321,321,15.21,1,Traffic,1484.71,0,1
322,322,97.2,0,Traffic,565.95,1,2
323,323,96.46,1,Traffic,292.95,1,1
324,324,48.93,0,Operational Delay,815.07,0,3
325,325,6.1,0,Weather,658.66,0,3
326,326,36.26,1,Traffic,1332.05,0,1
327,327,19.42,0,Documentation Issue,152.75,0,2
328,328,22.72,0,Weather,1745.64,0,1
329,329,27.94,1,Mechanical Issue,189.78,1,2
330,330,36.68,1,Mechanical Issue,1343.95,1,4
331,331,77.81,1,Documentation Issue,1792.51,0,5
332,332,35.32,1,Documentation Issue,180.95,0,5
333,333,88.45,0,Documentation Issue,1625.05,1,5
334,334,55.26,1,Customs,1913.72,0,1
335,335,127.33,0,Customs,1179.35,0,4
336,336,107.98,0,Documentation Issue,304.29,1,5
337,337,34.16,0,Weather,372.02,1,2
338,338,26.53,0,Weather,148.31,1,2
339,339,84.11,1,Customs,536.85,1,4
340,340,33.82,0,Documentation Issue,540.07,0,1
341,341,29.27,0,Mechanical Issue,197.83,0,5
342,342,92.99,0,None,1494.05,0,1
343,343,109.38,0,Customs,1493.39,1,3
344,344,50.04,1,Traffic,1045.02,0,2
345,345,131.05,1,Weather,742.1,0,3
346,346,111.44,1,None,1656.55,0,2
347,347,101.75,1,Customs,1452.96,1,1
348,348,87.94,0,Documentation Issue,1514.75,0,2
349,349,75.37,0,Mechanical Issue,1995.82,0,1
350,350,9.36,1,Weather,693.68,1,2
351,351,33.83,1,Weather,1223.15,0,2
352,352,111.34,1,Traffic,1006.57,0,3
353,353,66.44,0,Traffic,607.91,0,1
354,354,137.54,0,Customs,1753.18,0,4
355,355,61.29,0,None,1298.77,1,5
356,356,101.5,1,Traffic,585.43,1,3
357,357,55.46,1,Operational Delay,965.38,0,3
358,358,91.45,1,Traffic,1003.02,0,5
359,359,57.26,1,Weather,240.98,0,1
360,360,57.51,0,Documentation Issue,1570.14,1,4
361,361,118.13,0,Mechanical Issue,856.67,0,4
362,362,60.77,0,Customs,1975.77,1,1
363,363,53.12,0,None,1982.32,1,2
364,364,120.59,1,None,306.52,0,3
365,365,18.51,1,Documentation Issue,1655.69,0,4
366,366,53.29,1,Mechanical Issue,314.35,1,5
367,367,53.85,1,Documentation Issue,488.26,1,4
368,368,87.32,0,Mechanical Issue,1369.07,1,1
369,369,129.88,1,Customs,661.99,1,5
370,370,75.77,1,Documentation Issue,1893.55,1,5
371,371,111.0,1,Mechanical Issue,928.08,1,1
372,372,56.65,0,Mechanical Issue,833.31,0,1
373,373,91.03,1,None,314.64,0,1
374,374,8.29,0,None,395.53,0,5
375,375,11.69,0,Traffic,56.87,1,4
376,376,83.68,0,Customs,589.37,1,3
377,377,44.85,0,Traffic,1243.36,1,4
378,378,129.04,0,Weather,1103.13,1,4
379,379,87.89,1,Customs,981.82,0,4
380,380,105.8,1,Weather,52.23,0,4
381,381,86.51,1,None,1161.85,1,4
382,382,49.65,0,None,1396.79,0,3
383,383,38.94,0,Documentation Issue,89.6,0,1
384,384,69.69,0,Weather,1195.44,1,5
385,385,20.67,0,Traffic,1545.46,0,5
386,386,86.72,0,None,935.28,0,2
387,387,80.52,1,Operational Delay,423.08,0,3
388,388,95.99,0,Mechanical Issue,1922.97,1,1
389,389,37.94,0,Customs,212.88,1,5
390,390,98.94,1,Weather,1773.12,0,4
391,391,82.96,1,Operational Delay,565.15,1,2
392,392,82.89,0,Mechanical Issue,228.84,0,3
393,393,15.84,0,None,1254.97,1,2
394,394,100.52,0,Customs,1654.25,0,2
395,395,24.7,1,None,98.69,0,4
396,396,11.49,1,Weather,1728.23,1,5
397,397,48.2,0,None,910.76,1,2
398,398,7.56,1,Mechanical Issue,1407.43,1,3
399,399,119.9,0,Documentation Issue,1886.03,1,5
400,400,31.91,0,Weather,1224.62,0,4
401,401,63.74,1,Traffic,1418.88,1,2
402,402,15.89,1,Weather,796.96,1,2
403,403,108.09,0,Traffic,1521.65,0,1
404,404,10.52,0,Documentation Issue,112.9,1,1
405,405,130.25,1,Weather,418.86,0,2
406,406,24.99,0,Customs,1776.95,0,4
407,407,74.21,1,Weather,1360.1,1,3
408,408,64.61,0,Documentation Issue,1437.66,0,1
409,409,11.65,1,Mechanical Issue,1366.17,0,1
410,410,6.89,1,Operational Delay,898.94,0,4
411,411,27.73,1,Operational Delay,1278.83,1,3
412,412,132.6,0,Mechanical Issue,1441.63,0,1
413,413,135.06,1,Weather,502.23,0,5
414,414,19.06,1,Operational Delay,1597.32,1,1
415,415,53.69,1,Traffic,1753.28,0,5
416,416,13.34,0,Customs,1078.61,1,1
417,417,123.4,1,Weather,325.94,0,5
418,418,23.03,1,Mechanical Issue,1625.76,1,3
419,419,81.83,1,Traffic,1887.42,1,2
420,420,57.6,1,Mechanical Issue,1421.8,1,2
421,421,113.96,0,Customs,1809.37,0,5
422,422,46.23,0,None,581.88,1,1
423,423,138.33,0,Customs,524.8,0,5
424,424,124.73,0,Weather,1014.74,0,1
425,425,57.89,0,Mechanical Issue,1215.17,0,4
426,426,126.61,0,None,515.36,0,3
427,427,13.62,1,Operational Delay,531.86,1,3
428,428,120.52,0,Weather,1604.71,1,3
429,429,103.68,1,Weather,1995.7,1,3
430,430,106.31,1,Mechanical Issue,858.11,0,2
431,431,125.26,1,Traffic,421.66,1,3
432,432,82.21,1,Documentation Issue,1154.39,0,3
433,433,106.71,1,Traffic,681.4,1,5
434,434,20.82,0,None,1062.27,1,1
435,435,49.97,1,Traffic,944.35,0,4
436,436,79.58,1,Mechanical Issue,754.19,0,5
437,437,70.9,0,Documentation Issue,580.21,0,5
438,438,130.97,0,Weather,1420.0,1,5
439,439,8.39,1,Operational Delay,693.48,1,3
440,440,46.31,1,Customs,630.73,1,5
441,441,25.37,1,Customs,733.49,1,1
442,442,25.97,1,Customs,1226.85,1,1
443,443,50.4,0,Operational Delay,1597.06,0,2
444,444,127.51,1,Documentation Issue,1357.85,1,4
445,445,127.28,1,Documentation Issue,1969.28,0,1
446,446,138.74,1,Weather,615.96,1,2
447,447,66.61,0,Weather,459.19,1,1
448,448,21.91,0,Mechanical Issue,633.01,1,3
449,449,114.06,0,Mechanical Issue,1729.76,1,3
450,450,85.46,1,Traffic,42.84,1,3
451,451,31.21,1,Operational Delay,422.9,0,2
452,452,31.12,0,Customs,177.66,0,2
453,453,8.63,0,Customs,439.31,1,1
454,454,47.88,0,None,416.05,1,4
455,455,49.34,1,Documentation Issue,1536.92,1,5
456,456,13.27,0,Operational Delay,1253.52,0,5
457,457,137.19,0,Customs,1378.87,1,2
458,458,13.95,0,Operational Delay,1399.13,1,5
459,459,131.6,0,Weather,1468.85,0,5
460,460,71.27,0,None,1750.38,1,1
461,461,43.95,0,Weather,969.51,0,2
462,462,126.95,0,None,68.19,0,4
463,463,99.96,0,Traffic,1258.2,0,3
464,464,48.07,0,Operational Delay,1178.99,0,5
465,465,127.63,1,Traffic,1771.01,1,3
466,466,71.01,1,Customs,1466.5,1,5
467,467,107.06,1,Weather,1554.49,0,4
468,468,102.5,0,Weather,1774.78,1,5
469,469,54.6,0,Mechanical Issue,1573.7,0,1
470,470,128.5,0,Customs,684.27,1,5
471,471,35.76,1,Mechanical Issue,1494.44,0,2
472,472,117.26,1,Customs,1675.24,0,4
473,473,46.62,0,Mechanical Issue,825.42,0,2
474,474,132.14,0,Operational Delay,941.49,1,2
475,475,88.4,0,Traffic,1396.36,0,1
476,476,83.36,1,Weather,1665.84,0,2
477,477,31.79,1,Mechanical Issue,783.16,0,3
478,478,102.02,0,None,497.79,0,3
479,479,90.25,0,None,627.02,0,5
480,480,137.4,1,Mechanical Issue,1665.86,0,2
481,481,108.84,1,None,1290.34,1,2
482,482,62.87,0,Mechanical Issue,273.95,0,3
483,483,43.67,0,None,1271.31,0,3
484,484,91.66,0,Customs,1638.08,0,1
485,485,117.56,1,None,136.45,0,5
486,486,109.26,1,Operational Delay,619.19,1,3
487,487,11.87,1,Mechanical Issue,273.99,0,4
488,488,124.65,1,Weather,1214.79,0,2
489,489,134.35,0,None,1827.32,1,5
490,490,44.47,0,Weather,435.9,0,1
491,491,78.01,1,Operational Delay,352.21,1,2
492,492,114.22,1,None,645.27,1,5
493,493,78.88,0,Customs,689.18,0,2
494,494,42.99,1,None,43.72,0,5
495,495,123.61,1,Mechanical Issue,86.55,1,5
496,496,127.87,0,Documentation Issue,1608.33,1,4
497,497,13.91,0,Customs,1191.47,1,4
498,498,22.41,1,Customs,858.49,1,2
499,499,109.75,0,Weather,69.34,1,4
500,500,35.16,1,Operational Delay,208.21,0,2
501,501,10.98,0,Documentation Issue,68.7,0,1
502,502,44.5,1,Mechanical Issue,532.92,1,3
503,503,16.19,1,Mechanical Issue,1055.51,0,5
504,504,56.62,0,Mechanical Issue,1212.43,1,5
505,505,60.55,0,Documentation Issue,1728.33,0,1
506,506,98.16,0,Traffic,68.45,0,1
507,507,74.04,0,Customs,1997.72,0,2
508,508,133.15,1,Traffic,454.99,1,5
509,509,84.36,0,Operational Delay,1412.42,1,2
510,510,132.8,1,Traffic,364.12,1,1
511,511,72.57,0,Documentation Issue,133.3,0,2
512,512,72.81,1,Documentation Issue,500.06,0,1
513,513,119.0,1,Mechanical Issue,923.78,0,2
514,514,135.87,1,None,35.54,0,5
515,515,56.46,1,Customs,1214.86,1,5
516,516,80.09,1,Traffic,150.51,0,1
517,517,66.68,1,Weather,1750.35,0,4
518,518,23.75,0,Operational Delay,1217.31,0,3
519,519,101.12,1,Traffic,982.01,1,3
520,520,68.31,1,None,131.17,1,1
521,521,77.7,0,Weather,473.57,0,5
522,522,94.36,1,Traffic,1461.89,1,5
523,523,9.03,0,Operational Delay,1769.68,1,3
524,524,61.0,1,Documentation Issue,191.54,0,4
525,525,57.01,0,Operational Delay,1615.14,0,1
526,526,88.34,0,Mechanical Issue,430.8,1,3
527,527,82.13,0,Weather,1941.74,1,1
528,528,117.29,1,Traffic,148.04,0,2
529,529,126.15,0,Traffic,1169.58,1,2
530,530,30.43,1,Customs,756.97,1,1
531,531,46.68,0,Customs,1326.25,0,2
532,532,86.33,0,Operational Delay,1915.32,1,4
533,533,112.28,0,Documentation Issue,779.76,1,4
534,534,60.52,1,Customs,1158.65,1,4
535,535,93.75,1,None,511.51,1,5
536,536,113.38,0,Mechanical Issue,472.73,0,1
537,537,117.6,0,Operational Delay,1837.64,0,3
538,538,34.55,1,Customs,50.29,1,1
539,539,75.28,1,None,1013.14,0,2
540,540,66.54,1,Mechanical Issue,909.66,1,2
541,541,29.61,0,Mechanical Issue,662.54,1,1
542,542,44.67,0,Weather,1089.47,0,3
543,543,50.29,0,Weather,53.08,0,3
544,544,111.0,0,Operational Delay,627.0,1,3
545,545,60.76,1,Customs,187.6,1,1
546,546,114.72,0,Documentation Issue,666.46,0,5
547,547,44.19,0,None,562.02,0,2
548,548,96.46,1,Traffic,242.32,0,2
549,549,42.18,1,None,1499.04,0,5
550,550,134.35,1,Mechanical Issue,1233.52,1,4
551,551,42.05,1,Mechanical Issue,1532.85,1,3
552,552,23.08,1,Customs,1979.93,0,5
553,553,119.32,0,None,1651.9,1,4
554,554,137.17,1,Traffic,110.36,0,1
555,555,129.29,1,None,241.46,0,1
556,556,58.49,0,Weather,1441.65,1,2
557,557,33.51,1,Documentation Issue,189.92,0,4
558,558,26.02,1,Mechanical Issue,1200.67,0,2
559,559,133.99,1,Customs,749.09,1,5
560,560,116.96,0,Operational Delay,180.35,1,1
561,561,132.6,1,Documentation Issue,1543.41,0,4
562,562,94.35,1,Operational Delay,1113.45,0,2
563,563,6.08,0,Traffic,1017.37,0,3
564,564,103.16,0,Traffic,857.06,0,3
565,565,97.27,0,Mechanical Issue,1012.48,0,1
566,566,16.82,1,Customs,1249.28,0,4
567,567,101.69,0,None,1024.66,1,5
568,568,74.0,0,Mechanical Issue,682.74,1,1
569,569,11.13,1,None,787.78,1,5
570,570,19.53,1,Traffic,689.4,0,5
571,571,133.51,0,Documentation Issue,82.64,1,3
572,572,70.78,1,None,1863.33,1,2
573,573,85.84,1,Mechanical Issue,1848.36,0,4
574,574,39.26,1,Customs,754.32,0,5
575,575,83.86,0,Weather,693.75,0,1
576,576,113.42,0,None,1517.68,0,2
577,577,106.19,0,Mechanical Issue,266.0,0,5
578,578,53.51,1,Weather,1235.12,0,4
579,579,126.12,1,Weather,685.14,0,5
580,580,69.77,1,Operational Delay,335.31,0,2
581,581,9.03,1,Weather,605.5,0,4
