feedback_id,customer_id,shipment_id,rating,complaint_flag,feedback_text,response_time_hr,feedback_date
45,3136,45,2,1,Service feedback 45,38.29,2024-08-05
46,3075,46,3,1,Service feedback 46,56.74,2024-07-21
47,2576,47,1,0,Service feedback 47,69.08,2024-09-01
48,2865,48,4,1,Service feedback 48,18.12,2024-06-11
49,1765,49,3,0,Service feedback 49,11.47,2025-01-22
50,3323,50,1,1,Service feedback 50,44.11,2024-08-01
51,1026,51,1,1,Service feedback 51,66.63,2024-07-16
52,95,52,3,0,Service feedback 52,62.21,2024-06-24
53,4685,53,3,0,Service feedback 53,23.96,2024-06-10
54,2028,54,5,1,Service feedback 54,62.25,2024-03-14
55,3624,55,4,1,Service feedback 55,9.92,2024-01-28
56,1318,56,3,0,Service feedback 56,48.56,2024-09-06
57,3112,57,5,1,Service feedback 57,17.47,2024-04-02
58,1923,58,2,0,Service feedback 58,14.32,2024-12-05
59,3068,59,2,1,Service feedback 59,30.45,2025-02-01
60,1724,60,1,0,Service feedback 60,19.44,2024-05-30
61,3297,61,5,0,Service feedback 61,19.29,2024-05-30
62,773,62,3,1,Service feedback 62,68.52,2024-07-31
63,237,63,3,1,Service feedback 63,35.19,2024-06-14
64,2724,64,3,0,Service feedback 64,10.77,2024-01-24
65,4628,65,1,0,Service feedback 65,29.75,2024-03-19
66,331,66,3,1,Service feedback 66,27.57,2024-09-23
67,4576,67,3,0,Service feedback 67,20.73,2024-04-24
68,3362,68,4,0,Service feedback 68,69.17,2024-09-28
69,921,69,2,0,Service feedback 69,53.3,2024-04-25
70,1981,70,4,0,Service feedback 70,62.15,2024-10-11
71,4392,71,4,1,Service feedback 71,67.24,2024-03-27
72,1976,72,3,1,Service feedback 72,24.67,2024-04-25
73,1227,73,3,0,Service feedback 73,55.07,2024-04-14
74,3990,74,4,1,Service feedback 74,22.86,2024-05-22
75,2940,75,1,0,Service feedback 75,56.49,2024-09-17
76,1491,76,1,1,Service feedback 76,30.91,2024-11-30
77,4076,77,2,1,Service feedback 77,58.83,2024-06-12
78,4131,78,5,0,Service feedback 78,10.61,2024-12-15
79,4311,79,5,1,Service feedback 79,60.55,2024-12-27
80,958,80,5,1,Service feedback 80,70.02,2024-07-23
81,2754,81,4,1,Service feedback 81,4.7,2024-02-27
82,3761,82,3,0,Service feedback 82,2.17,2024-09-10
83,4449,83,2,0,Service feedback 83,44.1,2024-01-26
84,926,84,1,1,Service feedback 84,22.15,2024-10-07
85,3778,85,3,0,Service feedback 85,65.88,2024-09-15
86,2654,86,4,1,Service feedback 86,13.7,2024-11-04
87,4375,87,3,0,Service feedback 87,3.81,2024-04-21
88,2696,88,3,1,Service feedback 88,4.17,2024-12-21
89,1647,89,1,1,Service feedback 89,16.06,2024-04-16
90,2115,90,1,1,Service feedback 90,69.9,2024-06-21
91,3208,91,5,0,Service feedback 91,52.54,2024-01-17
92,4790,92,5,0,Service feedback 92,45.63,2024-06-11
93,2947,93,5,1,Service feedback 93,52.34,2024-04-24
94,3814,94,2,1,Service feedback 94,39.54,2024-10-13
95,773,95,1,0,Service feedback 95,36.27,2024-10-31
96,4564,96,3,0,Service feedback 96,11.83,2024-03-31
97,4621,97,2,0,Service feedback 97,45.16,2025-01-30
98,2741,98,2,1,Service feedback 98,19.41,2024-10-26
99,2389,99,3,0,Service feedback 99,4.77,2024-08-23
100,1295,100,2,1,Service feedback 100,68.27,2024-01-15
101,2741,101,1,0,Service feedback 101,54.7,2024-12-11
102,4413,102,4,1,Service feedback 102,59.37,2024-08-06
103,271,103,2,0,Service feedback 103,28.7,2024-12-28
104,3077,104,2,0,Service feedback 104,26.89,2024-09-17
105,99,105,3,0,Service feedback 105,3.9,2024-11-16
106,4723,106,5,0,Service feedback 106,24.49,2024-12-22
107,847,107,2,1,Service feedback 107,37.07,2024-06-17
108,4431,108,5,1,Service feedback 108,49.82,2024-06-07
109,791,109,3,0,Service feedback 109,62.08,2024-12-17
110,2715,110,3,0,Service feedback 110,48.68,2024-03-06
111,3550,111,4,1,Service feedback 111,8.04,2024-10-26
112,2725,112,5,0,Service feedback 112,1.3,2024-01-29
113,4505,113,5,0,Service feedback 113,3.37,2024-11-11
114,3144,114,4,0,Service feedback 114,9.1,2024-04-16
115,3755,115,1,1,Service feedback 115,5.83,2024-02-19
116,407,116,4,0,Service feedback 116,14.51,2024-04-21
117,4089,117,2,1,Service feedback 117,12.36,2024-09-20
118,4615,118,3,0,Service feedback 118,43.86,2024-07-25
119,725,119,5,1,Service feedback 119,41.6,2024-01-24
120,3886,120,5,0,Service feedback 120,18.02,2024-01-27
121,1347,121,5,1,Service feedback 121,61.36,2025-01-16
122,779,122,3,0,Service feedback 122,34.67,2024-02-08
123,1066,123,4,0,Service feedback 123,56.6,2024-01-10
124,2734,124,2,1,Service feedback 124,68.05,2024-09-08
125,2146,125,2,0,Service feedback 125,71.13,2024-09-13
126,3029,126,4,1,Service feedback 126,55.74,2024-04-13
127,2134,127,3,0,Service feedback 127,24.77,2024-12-21
128,1614,128,1,0,Service feedback 128,15.62,2024-01-11
129,974,129,1,1,Service feedback 129,34.85,2024-05-24
130,240,130,3,1,Service feedback 130,51.4,2024-06-02
131,1834,131,2,1,Service feedback 131,22.64,2024-11-18
132,1799,132,3,1,Service feedback 132,26.27,2024-12-04
133,2073,133,3,1,Service feedback 133,18.15,2024-06-30
134,2694,134,2,0,Service feedback 134,34.26,2024-09-11
135,522,135,5,0,Service feedback 135,33.64,2024-11-04
136,3489,136,2,1,Service feedback 136,64.75,2024-07-26
137,545,137,3,0,Service feedback 137,17.61,2024-04-03
138,2496,138,4,0,Service feedback 138,48.53,2024-04-25
139,4,139,5,1,Service feedback 139,14.18,2024-05-06
140,1594,140,5,0,Service feedback 140,38.62,2024-01-23
141,4701,141,2,1,Service feedback 141,28.01,2024-06-28
142,755,142,4,1,Service feedback 142,13.76,2024-03-02
143,1566,143,2,1,Service feedback 143,19.29,2024-12-20
144,742,144,5,1,Service feedback 144,29.11,2024-06-19
145,4510,145,5,1,Service feedback 145,47.45,2024-06-24
146,780,146,3,0,Service feedback 146,30.5,2024-02-15
147,3885,147,2,0,Service feedback 147,42.09,2024-01-21
148,3179,148,3,1,Service feedback 148,4.97,2024-09-28
149,3365,149,1,1,Service feedback 149,7.08,2024-11-18
150,82,150,1,0,Service feedback 150,23.09,2024-11-28
151,1695,151,3,1,Service feedback 151,19.5,2024-06-29
152,998,152,1,0,Service feedback 152,60.55,2024-06-05
153,2273,153,4,0,Service feedback 153,37.43,2024-01-29
154,2712,154,2,0,Service feedback 154,12.74,2024-02-20
155,1849,155,4,1,Service feedback 155,42.48,2024-03-24
156,721,156,1,0,Service feedback 156,38.11,2024-10-05
157,4356,157,5,1,Service feedback 157,49.43,2024-02-22
158,2092,158,5,1,Service feedback 158,68.17,2024-12-07
159,1859,159,5,1,Service feedback 159,4.19,2024-04-02
160,4007,160,4,1,Service feedback 160,70.78,2024-03-12
161,4058,161,1,1,Service feedback 161,48.56,2025-01-25
162,1796,162,1,1,Service feedback 162,32.28,2024-07-25
163,992,163,3,0,Service feedback 163,38.1,2025-01-08
164,1831,164,5,1,Service feedback 164,38.8,2024-06-26
165,364,165,2,1,Service feedback 165,14.7,2025-01-21
166,1619,166,3,0,Service feedback 166,61.21,2024-03-02
167,401,167,3,1,Service feedback 167,4.31,2024-01-19
168,4752,168,5,1,Service feedback 168,69.04,2024-11-16
169,3081,169,1,1,Service feedback 169,30.95,2024-10-13
170,1086,170,3,0,Service feedback 170,42.06,2024-02-15
171,1480,171,1,1,Service feedback 171,71.13,2024-01-26
172,2326,172,3,0,Service feedback 172,4.31,2024-02-13
173,1376,173,4,1,Service feedback 173,33.6,2024-12-20
174,1475,174,5,0,Service feedback 174,44.78,2024-11-06
175,4834,175,1,1,Service feedback 175,68.08,2024-12-31
176,2356,176,2,1,Service feedback 176,48.7,2024-02-17
177,104,177,3,1,Service feedback 177,69.56,2024-05-04
178,4050,178,5,1,Service feedback 178,24.08,2024-03-14
179,3533,179,3,1,Service feedback 179,30.05,2025-01-11
180,4175,180,4,0,Service feedback 180,35.13,2024-07-20
181,4331,181,4,1,Service feedback 181,63.37,2024-11-04
182,248,182,2,1,Service feedback 182,42.51,2024-11-12
183,655,183,2,1,Service feedback 183,58.13,2024-11-02
184,1708,184,1,0,Service feedback 184,15.59,2024-05-23
185,2990,185,5,0,Service feedback 185,34.67,2024-01-25
186,2535,186,1,0,Service feedback 186,59.18,2025-01-24
187,3856,187,1,1,Service feedback 187,56.65,2024-01-09
188,472,188,3,0,Service feedback 188,29.97,2024-03-09
189,768,189,2,0,Service feedback 189,50.99,2024-04-18
190,4545,190,2,0,Service feedback 190,11.67,2024-05-23
191,4794,191,3,0,Service feedback 191,23.22,2025-01-02
192,730,192,2,1,Service feedback 192,10.19,2024-11-14
193,2304,193,5,0,Service feedback 193,40.77,2024-09-01
194,4040,194,1,0,Service feedback 194,65.56,2024-06-26
195,3677,195,5,1,Service feedback 195,65.22,2024-04-19
196,687,196,5,0,Service feedback 196,22.79,2024-09-16
197,2707,197,1,1,Service feedback 197,12.55,2024-04-08
198,4107,198,2,0,Service feedback 198,63.16,2024-08-23
199,4814,199,2,1,Service feedback 199,68.07,2024-08-15
200,1515,200,3,0,Service feedback 200,64.91,2024-02-29
201,3716,201,1,0,Service feedback 201,23.76,2024-01-24
202,4786,202,3,0,Service feedback 202,23.27,2024-08-28
203,4047,203,3,0,Service feedback 203,23.96,2024-02-23
204,2920,204,2,0,Service feedback 204,22.6,2025-01-18
205,397,205,1,1,Service feedback 205,16.34,2024-12-22
206,4037,206,2,0,Service feedback 206,40.06,2024-08-17
207,473,207,4,0,Service feedback 207,42.46,2024-07-03
208,3722,208,2,1,Service feedback 208,7.31,2024-10-29
209,2587,209,4,0,Service feedback 209,35.95,2024-10-28
210,348,210,4,1,Service feedback 210,57.94,2025-01-05
211,2967,211,1,1,Service feedback 211,44.71,2024-12-03
212,4127,212,2,1,Service feedback 212,7.93,2024-03-02
213,2544,213,1,1,Service feedback 213,60.25,2024-03-13
214,2638,214,4,0,Service feedback 214,45.56,2025-01-30
215,1738,215,4,0,Service feedback 215,2.87,2024-11-29
216,4114,216,3,1,Service feedback 216,21.81,2024-04-08
217,3416,217,1,0,Service feedback 217,4.4,2024-02-22
218,2458,218,4,0,Service feedback 218,38.4,2024-08-08
219,1073,219,2,0,Service feedback 219,55.14,2024-02-05
220,1479,220,2,1,Service feedback 220,30.62,2025-01-16
221,3572,221,3,0,Service feedback 221,70.35,2024-06-16
222,139,222,4,0,Service feedback 222,49.97,2025-01-20
223,4032,223,5,1,Service feedback 223,13.03,2024-03-14
224,1108,224,5,1,Service feedback 224,70.63,2024-01-07
225,3356,225,5,1,Service feedback 225,22.73,2024-03-05
226,1281,226,3,0,Service feedback 226,32.13,2024-08-09
227,1296,227,2,1,Service feedback 227,57.91,2025-01-07
228,1879,228,5,1,Service feedback 228,67.23,2024-05-27
229,732,229,4,0,Service feedback 229,27.21,2024-03-23
230,556,230,5,0,Service feedback 230,25.36,2024-06-29
231,4185,231,2,1,Service feedback 231,65.39,2024-06-04
232,474,232,5,0,Service feedback 232,6.76,2024-07-26
233,4808,233,3,0,Service feedback 233,28.55,2024-05-08
234,2870,234,3,1,Service feedback 234,62.57,2024-12-14
235,4394,235,5,1,Service feedback 235,61.74,2024-11-27
236,887,236,4,0,Service feedback 236,36.86,2024-07-20
237,1533,237,5,0,Service feedback 237,25.24,2024-11-10
238,4647,238,5,1,Service feedback 238,50.62,2024-01-14
239,435,239,3,0,Service feedback 239,19.92,2024-08-03
240,2660,240,2,0,Service feedback 240,28.02,2024-12-08
241,1689,241,3,1,Service feedback 241,34.62,2024-01-31
242,752,242,5,0,Service feedback 242,34.86,2025-01-16
243,400,243,2,0,Service feedback 243,34.92,2024-01-04
244,4340,244,1,1,Service feedback 244,37.23,2024-08-14
245,4924,245,3,0,Service feedback 245,50.24,2024-09-03
246,2399,246,2,0,Service feedback 246,25.29,2024-12-06
247,4921,247,4,1,Service feedback 247,45.04,2024-09-30
248,1770,248,2,0,Service feedback 248,70.5,2024-10-21
249,2485,249,1,0,Service feedback 249,1.85,2024-12-14
250,4831,250,2,0,Service feedback 250,17.8,2024-12-19
251,1396,251,3,0,Service feedback 251,60.87,2024-05-15
252,2444,252,4,1,Service feedback 252,10.38,2024-07-08
253,1386,253,5,0,Service feedback 253,10.24,2024-12-06
254,2557,254,4,0,Service feedback 254,21.49,2024-03-23
255,2005,255,4,0,Service feedback 255,31.76,2024-07-03
256,320,256,4,1,Service feedback 256,20.49,2024-08-05
257,956,257,4,1,Service feedback 257,60.34,2024-12-07
258,1232,258,3,0,Service feedback 258,64.46,2024-09-24
259,1744,259,3,1,Service feedback 259,2.31,2024-11-30
260,4301,260,3,1,Service feedback 260,21.0,2025-01-31
261,1348,261,1,0,Service feedback 261,10.0,2025-01-18
262,48,262,4,1,Service feedback 262,35.46,2024-03-18
263,1089,263,5,1,Service feedback 263,70.96,2024-01-10
264,580,264,1,0,Service feedback 264,16.26,2024-04-29
265,2089,265,5,0,Service feedback 265,12.07,2024-06-26
266,3368,266,2,0,Service feedback 266,13.86,2024-09-02
267,1243,267,2,1,Service feedback 267,17.11,2024-07-01
268,1276,268,1,1,Service feedback 268,42.13,2024-12-14
269,727,269,5,1,Service feedback 269,43.84,2025-01-22
270,3214,270,1,1,Service feedback 270,6.24,2024-02-08
271,1511,271,3,0,Service feedback 271,9.44,2024-08-05
272,4379,272,5,1,Service feedback 272,19.5,2024-05-02
273,4134,273,5,0,Service feedback 273,33.65,2024-05-18
274,425,274,3,0,Service feedback 274,54.86,2024-12-15
275,854,275,3,1,Service feedback 275,20.97,2025-01-29
276,2119,276,5,1,Service feedback 276,21.75,2025-01-16
277,447,277,1,0,Service feedback 277,44.35,2024-04-20
278,1044,278,5,0,Service feedback 278,8.9,2025-01-09
279,3384,279,2,1,Service feedback 279,56.27,2024-03-03
280,1034,280,3,1,Service feedback 280,39.48,2024-11-30
281,2808,281,5,1,Service feedback 281,51.12,2024-08-04
282,4973,282,1,0,Service feedback 282,53.19,2024-11-28
283,1904,283,2,1,Service feedback 283,65.44,2024-09-26
284,4823,284,5,0,Service feedback 284,10.95,2024-02-20
285,2800,285,4,0,Service feedback 285,27.42,2024-05-26
286,988,286,3,1,Service feedback 286,25.14,2024-09-11
287,4927,287,3,1,Service feedback 287,63.94,2024-02-03
288,179,288,3,0,Service feedback 288,42.89,2024-04-15
289,1958,289,3,1,Service feedback 289,3.42,2024-10-26
290,3035,290,1,0,Service feedback 290,35.95,2024-07-01
291,4747,291,1,0,Service feedback 291,32.21,2024-08-19
292,3284,292,1,1,Service feedback 292,30.66,2024-05-08
293,1807,293,1,1,Service feedback 293,43.89,2024-03-19
294,3349,294,3,0,Service feedback 294,6.35,2024-07-09
295,208,295,1,1,Service feedback 295,24.64,2024-05-13
296,4120,296,3,1,Service feedback 296,14.05,2024-09-07
297,2663,297,3,1,Service feedback 297,32.56,2024-05-07
298,1143,298,2,1,Service feedback 298,15.62,2024-07-24
299,958,299,1,1,Service feedback 299,42.27,2024-02-03
300,1523,300,3,0,Service feedback 300,22.49,2024-07-10
301,2231,301,3,0,Service feedback 301,69.16,2024-08-02
302,2982,302,5,0,Service feedback 302,26.13,2024-03-24
303,161,303,4,0,Service feedback 303,71.19,2024-08-20
304,3487,304,1,0,Service feedback 304,22.63,2024-06-06
305,3279,305,2,1,Service feedback 305,2.82,2024-01-10
306,1949,306,5,1,Service feedback 306,31.52,2024-10-03
307,701,307,1,0,Service feedback 307,32.79,2024-03-19
308,4050,308,1,1,Service feedback 308,5.23,2025-01-26
309,2323,309,4,1,Service feedback 309,35.9,2024-01-13
310,3030,310,1,0,Service feedback 310,10.16,2024-07-29
311,320,311,5,1,Service feedback 311,26.2,2024-05-16
312,3407,312,1,0,Service feedback 312,34.87,2024-07-15
313,1410,313,4,1,Service feedback 313,41.03,2024-08-10
314,3868,314,3,0,Service feedback 314,44.22,2024-12-27
315,4236,315,5,1,Service feedback 315,61.46,2024-03-15
316,3377,316,2,0,Service feedback 316,21.99,2024-12-21
317,284,317,1,1,Service feedback 317,64.92,2024-10-04
318,3851,318,5,0,Service feedback 318,23.89,2024-10-28
319,3768,319,3,1,Service feedback 319,16.46,2024-03-18
320,3858,320,3,1,Service feedback 320,9.98,2024-10-04
321,2339,321,2,0,Service feedback 321,65.03,2024-02-27
322,673,322,3,0,Service feedback 322,52.47,2024-11-30
323,1805,323,1,0,Service feedback 323,58.8,2024-02-11
324,592,324,3,0,Service feedback 324,71.02,2024-06-07
325,1957,325,1,1,Service feedback 325,3.51,2024-05-02
326,4219,326,3,0,Service feedback 326,42.6,2024-07-10
327,3218,327,2,0,Service feedback 327,20.47,2024-09-02
328,425,328,4,1,Service feedback 328,43.27,2024-03-22
329,4213,329,2,1,Service feedback 329,3.77,2024-07-30
330,1906,330,4,0,Service feedback 330,9.27,2024-07-28
331,4621,331,1,1,Service feedback 331,17.83,2024-01-26
332,332,332,2,0,Service feedback 332,21.85,2024-11-03
333,142,333,5,0,Service feedback 333,38.09,2024-07-30
334,4237,334,1,1,Service feedback 334,14.99,2024-07-06
335,3443,335,2,1,Service feedback 335,69.93,2024-06-02
336,1055,336,1,1,Service feedback 336,53.41,2024-10-26
337,269,337,3,0,Service feedback 337,7.65,2024-09-22
338,3933,338,2,0,Service feedback 338,39.67,2024-01-22
339,1460,339,4,1,Service feedback 339,58.13,2024-12-11
340,4896,340,3,1,Service feedback 340,62.68,2024-09-29
341,1729,341,5,0,Service feedback 341,32.74,2024-01-16
342,254,342,5,0,Service feedback 342,66.96,2024-02-25
343,1084,343,1,0,Service feedback 343,42.55,2024-02-03
344,4442,344,2,0,Service feedback 344,13.51,2024-05-12
345,1735,345,1,1,Service feedback 345,65.59,2024-09-01
346,2680,346,5,0,Service feedback 346,42.15,2024-10-23
347,2531,347,4,1,Service feedback 347,4.31,2024-09-28
348,1811,348,2,0,Service feedback 348,15.99,2024-03-24
349,4560,349,3,1,Service feedback 349,37.97,2024-06-22
350,4402,350,2,1,Service feedback 350,61.88,2024-03-18
351,2997,351,5,0,Service feedback 351,48.45,2024-01-14
352,23,352,2,0,Service feedback 352,45.68,2024-02-10
353,4404,353,1,1,Service feedback 353,66.49,2025-01-15
354,4675,354,4,0,Service feedback 354,70.51,2024-06-19
355,1257,355,2,0,Service feedback 355,20.3,2024-11-27
356,1987,356,2,0,Service feedback 356,55.03,2024-03-30
357,1114,357,1,0,Service feedback 357,2.89,2024-11-07
358,4143,358,4,0,Service feedback 358,54.24,2024-04-07
359,3191,359,3,1,Service feedback 359,36.91,2024-11-08
360,258,360,1,0,Service feedback 360,51.48,2024-08-28
361,511,361,2,0,Service feedback 361,57.96,2024-06-27
362,3714,362,4,0,Service feedback 362,64.98,2024-10-10
363,181,363,4,0,Service feedback 363,14.51,2024-11-26
364,3897,364,2,0,Service feedback 364,16.76,2024-07-20
365,1108,365,4,1,Service feedback 365,48.78,2024-07-27
366,1737,366,5,0,Service feedback 366,37.35,2025-01-02
367,3471,367,3,0,Service feedback 367,33.79,2024-04-29
368,3556,368,3,1,Service feedback 368,54.65,2024-04-16
369,2810,369,2,1,Service feedback 369,34.96,2024-04-19
370,1293,370,1,0,Service feedback 370,39.08,2024-04-09
371,3250,371,1,1,Service feedback 371,61.49,2024-12-03
372,2854,372,4,0,Service feedback 372,37.12,2024-06-16
373,3246,373,5,1,Service feedback 373,20.96,2024-08-14
374,92,374,2,1,Service feedback 374,66.24,2024-10-19
375,3293,375,2,1,Service feedback 375,38.21,2024-12-17
376,578,376,3,0,Service feedback 376,51.32,2024-03-09
377,4585,377,2,1,Service feedback 377,57.14,2024-02-06
378,1840,378,5,0,Service feedback 378,29.45,2024-06-01
379,1139,379,2,0,Service feedback 379,29.78,2024-05-18
380,928,380,2,1,Service feedback 380,24.08,2024-04-14
381,2946,381,2,0,Service feedback 381,70.04,2024-05-11
382,466,382,4,1,Service feedback 382,44.24,2025-01-31
383,1136,383,1,1,Service feedback 383,70.34,2024-08-01
384,3036,384,3,1,Service feedback 384,64.06,2024-05-25
385,2257,385,5,1,Service feedback 385,61.84,2024-03-17
386,1369,386,4,1,Service feedback 386,51.67,2024-02-29
387,1640,387,5,1,Service feedback 387,5.9,2024-10-08
388,4809,388,5,0,Service feedback 388,34.66,2024-09-23
389,593,389,3,1,Service feedback 389,8.66,2024-11-07
390,4580,390,3,0,Service feedback 390,36.18,2024-04-03
391,3293,391,4,0,Service feedback 391,8.41,2024-02-15
392,2238,392,1,0,Service feedback 392,60.61,2024-10-01
393,2664,393,5,0,Service feedback 393,60.72,2024-05-05
394,3866,394,5,0,Service feedback 394,52.1,2024-09-30
395,3601,395,5,1,Service feedback 395,21.25,2024-03-05
396,4501,396,5,0,Service feedback 396,37.03,2024-04-05
397,2585,397,5,1,Service feedback 397,32.93,2024-07-04
398,3057,398,5,1,Service feedback 398,46.37,2024-05-13
399,687,399,5,0,Service feedback 399,31.94,2024-03-26
400,3882,400,2,1,Service feedback 400,17.55,2025-01-29
401,3974,401,1,1,Service feedback 401,2.14,2025-01-04
402,1114,402,3,1,Service feedback 402,13.2,2024-01-12
403,541,403,2,0,Service feedback 403,56.6,2024-05-21
404,2426,404,5,1,Service feedback 404,25.68,2024-11-17
405,1961,405,3,0,Service feedback 405,18.58,2024-12-23
406,1161,406,4,1,Service feedback 406,31.05,2024-11-15
407,4376,407,4,0,Service feedback 407,13.12,2024-07-28
408,4915,408,1,0,Service feedback 408,14.1,2024-04-14
409,2709,409,3,0,Service feedback 409,7.42,2024-01-28
410,535,410,4,0,Service feedback 410,44.37,2025-01-12
411,2278,411,1,1,Service feedback 411,13.82,2024-04-25
412,551,412,3,1,Service feedback 412,11.78,2024-12-05
413,4800,413,1,1,Service feedback 413,27.74,2025-01-05
414,3271,414,1,0,Service feedback 414,6.42,2024-10-21
415,270,415,3,0,Service feedback 415,11.18,2024-07-13
416,4916,416,5,0,Service feedback 416,14.55,2024-06-13
417,922,417,5,1,Service feedback 417,20.17,2024-03-24
418,80,418,5,1,Service feedback 418,16.4,2024-07-13
419,564,419,3,0,Service feedback 419,24.77,2024-08-24
420,699,420,2,1,Service feedback 420,58.64,2024-05-28
421,1107,421,1,1,Service feedback 421,23.88,2024-03-17
422,3469,422,3,1,Service feedback 422,42.98,2024-11-23
423,76,423,2,0,Service feedback 423,62.86,2024-07-22
424,3318,424,4,1,Service feedback 424,69.95,2024-06-12
425,2792,425,5,0,Service feedback 425,47.47,2024-05-05
426,4999,426,3,1,Service feedback 426,56.04,2024-03-16
427,4134,427,1,0,Service feedback 427,40.7,2024-10-14
428,2717,428,1,1,Service feedback 428,64.27,2024-12-25
429,452,429,1,0,Service feedback 429,4.21,2024-04-04
430,1711,430,4,0,Service feedback 430,51.36,2024-02-18
431,3500,431,4,1,Service feedback 431,69.08,2025-01-22
432,2800,432,2,1,Service feedback 432,24.95,2024-04-14
433,3275,433,1,1,Service feedback 433,22.04,2024-11-14
434,787,434,2,1,Service feedback 434,33.59,2024-11-09
435,3635,435,2,1,Service feedback 435,27.14,2024-01-08
436,2351,436,3,1,Service feedback 436,68.46,2025-01-02
437,4628,437,3,1,Service feedback 437,40.0,2024-09-07
438,3951,438,3,0,Service feedback 438,26.53,2024-08-01
439,3613,439,1,0,Service feedback 439,4.61,2024-05-26
440,1682,440,1,0,Service feedback 440,70.81,2024-01-06
441,4441,441,2,0,Service feedback 441,18.21,2025-01-02
442,2240,442,3,0,Service feedback 442,58.45,2024-06-12
443,3437,443,3,0,Service feedback 443,32.55,2024-08-14
444,3421,444,5,1,Service feedback 444,41.16,2025-01-28
445,3252,445,5,1,Service feedback 445,2.55,2024-01-03
446,2309,446,5,1,Service feedback 446,9.76,2024-10-11
447,4221,447,5,0,Service feedback 447,38.49,2024-06-25
448,1353,448,4,0,Service feedback 448,69.2,2024-09-26
449,1129,449,1,1,Service feedback 449,23.73,2024-12-14
450,2325,450,4,1,Service feedback 450,39.43,2024-06-08
451,1453,451,2,0,Service feedback 451,22.64,2024-11-30
452,3575,452,4,1,Service feedback 452,69.94,2024-03-29
453,2691,453,3,1,Service feedback 453,44.13,2024-12-08
454,869,454,4,0,Service feedback 454,44.69,2024-08-07
455,2786,455,3,1,Service feedback 455,50.58,2024-12-30
456,2791,456,2,1,Service feedback 456,71.52,2024-12-12
457,2664,457,1,0,Service feedback 457,20.11,2024-08-20
458,3124,458,4,0,Service feedback 458,16.28,2024-01-01
459,1399,459,2,1,Service feedback 459,23.22,2025-01-10
460,4700,460,5,0,Service feedback 460,44.25,2025-02-04
461,1232,461,1,1,Service feedback 461,4.75,2024-09-14
462,1596,462,3,0,Service feedback 462,39.57,2024-12-17
463,957,463,5,0,Service feedback 463,70.96,2024-10-22
464,555,464,1,1,Service feedback 464,13.4,2024-10-17
465,2958,465,2,0,Service feedback 465,46.39,2024-09-20
466,131,466,4,0,Service feedback 466,7.24,2024-07-28
467,619,467,2,1,Service feedback 467,68.12,2024-06-05
