movement_id,shipment_id,from_hub,to_hub,movement_mode,departure_time,arrival_time,movement_status
49,49,375,464,Air Freight,2024-07-11 12:00:00,2024-06-18 01:00:00,Delayed
50,50,409,92,Cargo Van,2024-11-17 14:00:00,2024-09-12 13:00:00,In Transit
51,51,341,281,Air Freight,2024-08-25 08:00:00,2024-11-08 08:00:00,In Transit
52,52,305,123,Air Freight,2024-10-28 17:00:00,2024-11-24 08:00:00,Delayed
53,53,189,391,Air Freight,2024-11-20 18:00:00,2024-06-30 01:00:00,Delayed
54,54,370,30,Ship,2024-07-23 06:00:00,2024-05-09 23:00:00,Completed
55,55,178,319,Ship,2024-08-27 12:00:00,2024-11-08 11:00:00,Completed
56,56,162,133,Truck,2024-02-12 10:00:00,2024-02-08 02:00:00,Completed
57,57,206,478,Ship,2024-08-18 23:00:00,2024-07-30 12:00:00,Completed
58,58,138,89,Ship,2024-08-16 10:00:00,2024-03-12 18:00:00,Delayed
59,59,119,96,Truck,2024-09-06 13:00:00,2024-02-16 20:00:00,Delayed
60,60,353,339,Truck,2024-06-04 00:00:00,2024-05-21 05:00:00,In Transit
61,61,388,38,Air Freight,2024-05-05 23:00:00,2024-07-01 08:00:00,Completed
62,62,82,276,Cargo Van,2024-10-19 03:00:00,2024-01-24 14:00:00,In Transit
63,63,370,303,Truck,2024-01-10 23:00:00,2024-01-26 21:00:00,Delayed
64,64,290,337,Truck,2024-01-11 14:00:00,2024-03-31 13:00:00,Delayed
65,65,350,135,Air Freight,2024-05-02 15:00:00,2024-11-20 23:00:00,In Transit
66,66,63,189,Air Freight,2024-03-06 18:00:00,2024-11-16 08:00:00,Delayed
67,67,389,111,Air Freight,2024-05-05 22:00:00,2024-09-15 11:00:00,In Transit
68,68,35,142,Cargo Van,2024-07-05 14:00:00,2024-09-27 21:00:00,Completed
69,69,36,46,Cargo Van,2024-08-29 00:00:00,2024-11-19 11:00:00,Completed
70,70,336,122,Truck,2024-04-29 21:00:00,2024-02-17 04:00:00,Completed
71,71,478,469,Truck,2024-07-29 04:00:00,2024-11-04 14:00:00,In Transit
72,72,274,413,Truck,2024-04-04 08:00:00,2024-11-25 11:00:00,In Transit
73,73,253,426,Cargo Van,2024-01-12 02:00:00,2024-11-14 04:00:00,In Transit
74,74,42,308,Air Freight,2024-06-12 19:00:00,2024-06-10 01:00:00,In Transit
75,75,368,1,Cargo Van,2024-03-11 19:00:00,2024-08-09 07:00:00,Delayed
76,76,442,210,Truck,2024-09-13 04:00:00,2024-06-07 11:00:00,In Transit
77,77,218,414,Air Freight,2024-03-19 14:00:00,2024-10-15 09:00:00,Delayed
78,78,300,98,Air Freight,2024-01-23 15:00:00,2024-07-20 01:00:00,Completed
79,79,15,117,Air Freight,2024-05-14 11:00:00,2024-11-11 08:00:00,Completed
80,80,495,441,Ship,2024-07-13 20:00:00,2024-05-06 08:00:00,Completed
81,81,267,66,Ship,2024-02-17 17:00:00,2024-10-26 18:00:00,Delayed
82,82,161,349,Air Freight,2024-11-17 12:00:00,2024-11-12 18:00:00,Delayed
83,83,95,71,Cargo Van,2024-11-25 13:00:00,2024-05-23 18:00:00,Delayed
84,84,303,321,Ship,2024-02-06 03:00:00,2024-02-22 17:00:00,Completed
85,85,130,437,Truck,2024-02-09 02:00:00,2024-12-02 22:00:00,Delayed
86,86,482,410,Cargo Van,2024-08-13 11:00:00,2024-07-28 18:00:00,Completed
87,87,105,424,Cargo Van,2024-01-17 13:00:00,2024-04-26 07:00:00,Completed
88,88,489,485,Air Freight,2024-08-11 00:00:00,2024-01-27 12:00:00,Completed
89,89,408,358,Ship,2024-03-02 10:00:00,2024-07-22 19:00:00,Completed
90,90,307,103,Cargo Van,2024-06-19 08:00:00,2024-03-11 06:00:00,Completed
91,91,287,450,Ship,2024-11-07 10:00:00,2024-06-18 16:00:00,Completed
92,92,341,92,Cargo Van,2024-06-22 06:00:00,2024-10-10 11:00:00,Completed
93,93,253,413,Cargo Van,2024-09-07 12:00:00,2024-10-29 13:00:00,Completed
94,94,8,278,Cargo Van,2024-11-26 17:00:00,2024-12-03 22:00:00,Completed
95,95,67,280,Ship,2024-06-10 04:00:00,2024-11-05 03:00:00,Completed
96,96,470,47,Ship,2024-01-14 07:00:00,2024-05-20 01:00:00,Delayed
97,97,270,245,Ship,2024-04-24 23:00:00,2024-08-14 04:00:00,Delayed
98,98,306,465,Cargo Van,2024-07-17 04:00:00,2024-04-18 19:00:00,Completed
99,99,486,322,Truck,2024-10-20 21:00:00,2024-07-24 04:00:00,Completed
100,100,54,169,Truck,2024-01-29 00:00:00,2024-06-28 07:00:00,Delayed
101,101,260,117,Cargo Van,2024-11-14 19:00:00,2024-01-14 17:00:00,Delayed
102,102,243,307,Cargo Van,2024-10-09 12:00:00,2024-06-14 18:00:00,Completed
103,103,278,371,Truck,2024-09-13 23:00:00,2024-11-02 17:00:00,In Transit
104,104,121,99,Truck,2024-05-09 11:00:00,2024-07-20 12:00:00,In Transit
105,105,490,113,Cargo Van,2024-05-27 20:00:00,2024-07-17 16:00:00,Delayed
106,106,258,81,Ship,2024-04-06 20:00:00,2024-03-19 08:00:00,In Transit
107,107,471,281,Ship,2024-05-08 05:00:00,2024-07-20 16:00:00,Delayed
108,108,268,160,Ship,2024-02-13 08:00:00,2024-04-19 06:00:00,In Transit
109,109,129,155,Cargo Van,2024-09-01 14:00:00,2024-04-26 06:00:00,Delayed
110,110,73,454,Truck,2024-03-05 16:00:00,2024-07-09 14:00:00,Delayed
111,111,150,215,Air Freight,2024-11-10 11:00:00,2024-03-23 01:00:00,Completed
112,112,433,182,Air Freight,2024-09-01 03:00:00,2024-07-09 11:00:00,Completed
113,113,494,321,Truck,2024-07-06 12:00:00,2024-09-22 16:00:00,Delayed
114,114,31,150,Ship,2024-10-10 15:00:00,2024-09-14 02:00:00,Completed
115,115,293,227,Ship,2024-06-17 17:00:00,2024-09-08 18:00:00,Completed
116,116,156,75,Truck,2024-03-17 14:00:00,2024-06-26 15:00:00,Completed
117,117,427,129,Truck,2024-09-05 00:00:00,2024-01-17 04:00:00,Delayed
118,118,86,155,Truck,2024-08-03 08:00:00,2024-09-15 14:00:00,Completed
119,119,366,470,Cargo Van,2024-09-16 04:00:00,2024-08-14 12:00:00,In Transit
120,120,450,209,Truck,2024-07-23 23:00:00,2024-06-18 08:00:00,Delayed
121,121,156,235,Truck,2024-05-09 12:00:00,2024-08-11 22:00:00,Delayed
122,122,207,265,Cargo Van,2024-03-09 14:00:00,2024-04-26 03:00:00,Completed
123,123,123,268,Truck,2024-03-15 05:00:00,2024-07-10 08:00:00,Delayed
124,124,33,92,Cargo Van,2024-09-24 12:00:00,2024-03-22 08:00:00,Completed
125,125,15,419,Cargo Van,2024-08-30 05:00:00,2024-09-13 07:00:00,Completed
126,126,64,104,Ship,2024-02-18 07:00:00,2024-06-28 22:00:00,Completed
127,127,257,328,Air Freight,2024-04-13 05:00:00,2024-01-18 16:00:00,In Transit
128,128,397,240,Ship,2024-10-10 08:00:00,2024-02-26 21:00:00,Completed
129,129,318,120,Truck,2024-04-09 12:00:00,2024-03-08 01:00:00,Delayed
130,130,306,443,Ship,2024-11-28 10:00:00,2024-07-14 05:00:00,Completed
131,131,423,82,Ship,2024-05-13 16:00:00,2024-09-06 23:00:00,In Transit
132,132,156,418,Truck,2024-07-28 23:00:00,2024-05-11 04:00:00,In Transit
133,133,129,482,Cargo Van,2024-01-07 01:00:00,2024-07-09 16:00:00,Completed
134,134,119,27,Cargo Van,2024-11-14 06:00:00,2024-02-05 01:00:00,Delayed
135,135,314,489,Air Freight,2024-08-11 23:00:00,2024-08-06 04:00:00,Delayed
136,136,5,441,Ship,2024-03-03 22:00:00,2024-01-25 05:00:00,Delayed
137,137,470,221,Truck,2024-07-12 06:00:00,2024-04-17 13:00:00,Delayed
138,138,14,188,Ship,2024-07-30 15:00:00,2024-09-05 21:00:00,In Transit
139,139,78,28,Truck,2024-01-01 23:00:00,2024-02-09 17:00:00,In Transit
140,140,440,374,Ship,2024-10-15 21:00:00,2024-07-08 19:00:00,In Transit
141,141,232,485,Cargo Van,2024-06-16 23:00:00,2024-01-26 13:00:00,Delayed
142,142,126,419,Ship,2024-11-13 18:00:00,2024-06-02 09:00:00,Delayed
143,143,342,428,Ship,2024-10-03 05:00:00,2024-11-21 02:00:00,Delayed
144,144,87,247,Air Freight,2024-10-07 13:00:00,2024-03-20 20:00:00,Delayed
145,145,484,297,Truck,2024-07-25 00:00:00,2024-11-15 17:00:00,Completed
146,146,425,400,Cargo Van,2024-02-04 06:00:00,2024-10-12 09:00:00,Delayed
147,147,374,225,Truck,2024-07-28 21:00:00,2024-02-19 15:00:00,In Transit
148,148,31,14,Air Freight,2024-09-22 23:00:00,2024-03-12 10:00:00,In Transit
149,149,218,357,Cargo Van,2024-08-06 14:00:00,2024-09-20 23:00:00,Completed
150,150,3,262,Ship,2024-01-12 07:00:00,2024-06-06 23:00:00,In Transit
151,151,318,75,Truck,2024-08-22 06:00:00,2024-01-12 14:00:00,Completed
152,152,285,5,Air Freight,2024-08-01 17:00:00,2024-05-08 03:00:00,Delayed
153,153,226,409,Cargo Van,2024-01-02 00:00:00,2024-08-07 19:00:00,Delayed
154,154,234,45,Truck,2024-10-30 21:00:00,2024-04-11 08:00:00,In Transit
155,155,370,84,Ship,2024-09-01 19:00:00,2024-11-19 15:00:00,In Transit
156,156,370,193,Truck,2024-09-10 06:00:00,2024-01-13 17:00:00,Completed
157,157,469,59,Cargo Van,2024-04-29 14:00:00,2024-01-28 08:00:00,Delayed
158,158,489,107,Air Freight,2024-09-07 10:00:00,2024-02-28 04:00:00,Delayed
159,159,35,449,Truck,2024-10-18 06:00:00,2024-09-30 00:00:00,Delayed
160,160,13,370,Ship,2024-06-16 11:00:00,2024-09-20 00:00:00,In Transit
161,161,268,325,Truck,2024-08-24 12:00:00,2024-02-01 04:00:00,Delayed
162,162,237,406,Cargo Van,2024-06-05 05:00:00,2024-04-23 03:00:00,In Transit
163,163,440,156,Ship,2024-04-20 06:00:00,2024-03-22 14:00:00,In Transit
164,164,54,336,Cargo Van,2024-01-18 11:00:00,2024-06-15 23:00:00,In Transit
165,165,311,387,Ship,2024-09-12 00:00:00,2024-02-15 22:00:00,In Transit
166,166,96,415,Ship,2024-02-22 20:00:00,2024-02-03 06:00:00,In Transit
167,167,413,290,Cargo Van,2024-02-27 14:00:00,2024-01-03 00:00:00,In Transit
168,168,424,499,Air Freight,2024-05-14 20:00:00,2024-07-24 04:00:00,Completed
169,169,67,86,Ship,2024-07-23 11:00:00,2024-12-01 12:00:00,In Transit
170,170,170,176,Ship,2024-09-15 06:00:00,2024-04-24 09:00:00,Delayed
171,171,175,305,Air Freight,2024-04-23 02:00:00,2024-09-07 09:00:00,Completed
172,172,498,118,Air Freight,2024-08-27 04:00:00,2024-09-06 10:00:00,Completed
173,173,126,410,Cargo Van,2024-05-15 17:00:00,2024-08-18 23:00:00,Completed
174,174,472,250,Truck,2024-01-29 14:00:00,2024-08-15 20:00:00,Delayed
175,175,91,366,Truck,2024-01-03 13:00:00,2024-11-13 14:00:00,Completed
176,176,123,476,Cargo Van,2024-06-10 07:00:00,2024-09-26 03:00:00,Completed
177,177,47,311,Truck,2024-07-24 23:00:00,2024-11-23 10:00:00,In Transit
178,178,402,106,Cargo Van,2024-11-06 00:00:00,2024-05-07 03:00:00,In Transit
179,179,396,27,Cargo Van,2024-08-20 23:00:00,2024-06-07 06:00:00,In Transit
180,180,152,158,Cargo Van,2024-06-03 11:00:00,2024-07-15 05:00:00,Delayed
181,181,266,487,Ship,2024-05-21 21:00:00,2024-04-13 18:00:00,In Transit
182,182,379,342,Truck,2024-01-16 09:00:00,2024-07-23 10:00:00,Completed
183,183,340,137,Truck,2024-07-07 17:00:00,2024-06-12 13:00:00,In Transit
184,184,215,436,Ship,2024-04-24 10:00:00,2024-05-19 03:00:00,Completed
185,185,335,358,Ship,2024-01-29 10:00:00,2024-03-31 19:00:00,Completed
186,186,286,78,Cargo Van,2024-05-10 11:00:00,2024-08-25 05:00:00,In Transit
187,187,110,264,Truck,2024-05-01 06:00:00,2024-06-15 01:00:00,Completed
188,188,468,161,Truck,2024-08-20 15:00:00,2024-08-02 19:00:00,Delayed
189,189,234,454,Ship,2024-11-19 00:00:00,2024-01-21 10:00:00,In Transit
190,190,198,111,Air Freight,2024-05-04 07:00:00,2024-06-28 10:00:00,In Transit
191,191,431,340,Air Freight,2024-10-26 20:00:00,2024-09-09 05:00:00,Completed
192,192,1,496,Cargo Van,2024-04-20 17:00:00,2024-01-02 09:00:00,In Transit
193,193,187,356,Cargo Van,2024-01-26 12:00:00,2024-01-16 11:00:00,Delayed
194,194,153,106,Cargo Van,2024-03-02 14:00:00,2024-02-14 12:00:00,Delayed
195,195,203,77,Cargo Van,2024-09-21 13:00:00,2024-08-08 13:00:00,Completed
196,196,25,106,Cargo Van,2024-06-11 14:00:00,2024-07-16 14:00:00,In Transit
197,197,188,302,Ship,2024-05-27 17:00:00,2024-01-10 04:00:00,In Transit
198,198,85,401,Air Freight,2024-05-17 11:00:00,2024-02-09 09:00:00,Completed
199,199,98,343,Cargo Van,2024-02-03 15:00:00,2024-10-20 12:00:00,Completed
200,200,187,348,Ship,2024-03-17 11:00:00,2024-05-28 11:00:00,In Transit
201,201,30,378,Cargo Van,2024-02-21 04:00:00,2024-03-10 19:00:00,In Transit
202,202,173,50,Ship,2024-02-14 00:00:00,2024-04-28 21:00:00,Completed
203,203,406,17,Cargo Van,2024-01-28 18:00:00,2024-11-15 15:00:00,Delayed
204,204,392,196,Ship,2024-10-24 06:00:00,2024-08-09 21:00:00,Completed
205,205,203,192,Truck,2024-09-27 10:00:00,2024-07-09 03:00:00,In Transit
206,206,72,328,Truck,2024-07-22 10:00:00,2024-11-11 20:00:00,Delayed
207,207,425,344,Cargo Van,2024-09-01 22:00:00,2024-03-19 15:00:00,In Transit
208,208,456,436,Cargo Van,2024-03-06 14:00:00,2024-01-25 00:00:00,Completed
209,209,52,287,Truck,2024-07-24 08:00:00,2024-02-13 17:00:00,Completed
210,210,399,65,Truck,2024-01-23 04:00:00,2024-10-18 09:00:00,In Transit
211,211,242,90,Truck,2024-11-13 11:00:00,2024-09-04 22:00:00,Completed
212,212,88,364,Ship,2024-08-15 13:00:00,2024-01-30 11:00:00,Delayed
213,213,235,238,Cargo Van,2024-03-16 03:00:00,2024-01-18 10:00:00,Completed
214,214,118,232,Truck,2024-05-16 00:00:00,2024-03-20 22:00:00,Completed
215,215,334,413,Air Freight,2024-04-08 22:00:00,2024-06-05 21:00:00,Completed
216,216,108,332,Truck,2024-08-16 23:00:00,2024-08-17 08:00:00,Completed
217,217,332,77,Truck,2024-05-08 13:00:00,2024-01-18 08:00:00,In Transit
218,218,291,383,Ship,2024-09-22 16:00:00,2024-05-07 14:00:00,Completed
219,219,259,40,Ship,2024-07-09 01:00:00,2024-02-20 03:00:00,In Transit
220,220,410,152,Truck,2024-10-07 05:00:00,2024-04-23 21:00:00,In Transit
221,221,214,386,Truck,2024-06-29 17:00:00,2024-05-09 06:00:00,Completed
222,222,267,438,Ship,2024-04-07 09:00:00,2024-05-03 14:00:00,Delayed
223,223,499,228,Truck,2024-08-03 16:00:00,2024-12-05 18:00:00,Completed
224,224,421,295,Truck,2024-05-05 23:00:00,2024-10-31 00:00:00,In Transit
225,225,307,289,Air Freight,2024-09-29 09:00:00,2024-07-27 03:00:00,In Transit
226,226,32,300,Ship,2024-08-08 22:00:00,2024-03-29 14:00:00,In Transit
227,227,225,103,Truck,2024-04-17 08:00:00,2024-03-31 15:00:00,Completed
228,228,422,82,Cargo Van,2024-06-09 12:00:00,2024-08-31 11:00:00,Delayed
229,229,486,53,Air Freight,2024-10-03 15:00:00,2024-03-17 22:00:00,Delayed
230,230,355,382,Air Freight,2024-01-26 03:00:00,2024-11-21 08:00:00,Delayed
231,231,281,24,Cargo Van,2024-03-17 23:00:00,2024-09-18 13:00:00,In Transit
232,232,380,367,Air Freight,2024-04-16 12:00:00,2024-08-26 15:00:00,Delayed
233,233,58,345,Cargo Van,2024-03-25 01:00:00,2024-10-28 06:00:00,In Transit
234,234,367,413,Truck,2024-03-05 20:00:00,2024-08-10 16:00:00,Delayed
235,235,58,71,Truck,2024-01-21 10:00:00,2024-05-08 17:00:00,Completed
236,236,281,468,Cargo Van,2024-08-18 09:00:00,2024-04-29 01:00:00,Completed
237,237,290,500,Cargo Van,2024-03-10 15:00:00,2024-02-04 10:00:00,Completed
238,238,138,40,Air Freight,2024-03-19 17:00:00,2024-03-17 00:00:00,Completed
239,239,362,110,Ship,2024-01-14 07:00:00,2024-06-21 17:00:00,Completed
240,240,316,493,Truck,2024-11-01 07:00:00,2024-08-20 00:00:00,Delayed
241,241,130,75,Ship,2024-11-27 15:00:00,2024-09-25 18:00:00,Completed
242,242,384,5,Air Freight,2024-01-09 04:00:00,2024-09-05 15:00:00,Completed
243,243,433,416,Ship,2024-08-26 06:00:00,2024-05-23 23:00:00,Completed
244,244,495,455,Truck,2024-06-07 03:00:00,2024-11-23 13:00:00,Completed
245,245,315,389,Air Freight,2024-11-03 02:00:00,2024-01-22 02:00:00,In Transit
246,246,42,476,Ship,2024-06-28 18:00:00,2024-08-16 11:00:00,Delayed
247,247,100,360,Truck,2024-05-06 13:00:00,2024-09-27 21:00:00,Delayed
248,248,247,164,Air Freight,2024-03-31 05:00:00,2024-11-03 01:00:00,Delayed
249,249,102,478,Ship,2024-11-27 22:00:00,2024-08-20 18:00:00,Delayed
250,250,326,188,Cargo Van,2024-06-13 03:00:00,2024-10-02 16:00:00,Completed
251,251,412,408,Ship,2024-02-11 14:00:00,2024-03-15 02:00:00,In Transit
252,252,498,399,Ship,2024-10-10 21:00:00,2024-02-23 10:00:00,Completed
253,253,460,157,Cargo Van,2024-03-14 09:00:00,2024-08-02 09:00:00,Delayed
254,254,469,330,Cargo Van,2024-07-09 21:00:00,2024-08-27 01:00:00,In Transit
255,255,52,404,Cargo Van,2024-07-30 04:00:00,2024-04-23 15:00:00,Delayed
256,256,1,83,Cargo Van,2024-02-10 12:00:00,2024-06-29 09:00:00,Completed
257,257,496,271,Cargo Van,2024-02-28 09:00:00,2024-10-23 03:00:00,In Transit
258,258,196,284,Air Freight,2024-10-02 21:00:00,2024-05-06 19:00:00,Completed
259,259,450,491,Truck,2024-11-01 15:00:00,2024-08-27 13:00:00,Completed
260,260,406,303,Ship,2024-09-17 06:00:00,2024-04-12 16:00:00,In Transit
261,261,153,19,Truck,2024-07-29 02:00:00,2024-09-12 02:00:00,In Transit
262,262,435,350,Truck,2024-10-01 14:00:00,2024-03-08 03:00:00,In Transit
263,263,9,467,Air Freight,2024-09-05 10:00:00,2024-03-16 19:00:00,In Transit
264,264,153,251,Cargo Van,2024-08-10 21:00:00,2024-10-15 00:00:00,Delayed
265,265,442,110,Ship,2024-08-22 01:00:00,2024-07-16 13:00:00,Completed
266,266,301,416,Cargo Van,2024-07-07 15:00:00,2024-04-25 04:00:00,Delayed
267,267,382,252,Ship,2024-04-07 02:00:00,2024-09-25 23:00:00,Completed
268,268,23,280,Truck,2024-11-21 01:00:00,2024-08-10 08:00:00,Completed
269,269,3,398,Ship,2024-06-06 15:00:00,2024-05-27 14:00:00,Delayed
270,270,313,98,Air Freight,2024-01-10 23:00:00,2024-03-02 14:00:00,In Transit
271,271,206,40,Ship,2024-05-01 05:00:00,2024-07-15 23:00:00,In Transit
272,272,254,155,Ship,2024-06-12 22:00:00,2024-02-18 09:00:00,In Transit
273,273,393,399,Ship,2024-04-05 01:00:00,2024-11-24 14:00:00,In Transit
274,274,399,177,Truck,2024-11-06 16:00:00,2024-05-22 02:00:00,In Transit
275,275,315,223,Cargo Van,2024-05-30 00:00:00,2024-08-28 05:00:00,In Transit
276,276,436,44,Air Freight,2024-03-24 18:00:00,2024-02-07 05:00:00,In Transit
277,277,287,157,Cargo Van,2024-09-19 20:00:00,2024-05-29 14:00:00,Completed
278,278,41,146,Truck,2024-07-23 13:00:00,2024-04-18 16:00:00,Delayed
279,279,364,376,Ship,2024-09-12 14:00:00,2024-07-31 23:00:00,In Transit
280,280,447,117,Cargo Van,2024-05-17 18:00:00,2024-02-25 02:00:00,In Transit
281,281,420,110,Air Freight,2024-06-18 09:00:00,2024-04-13 23:00:00,Completed
282,282,99,113,Truck,2024-02-17 17:00:00,2024-05-04 03:00:00,Delayed
283,283,392,468,Truck,2024-10-24 19:00:00,2024-09-30 20:00:00,Delayed
284,284,459,345,Truck,2024-04-09 21:00:00,2024-02-28 07:00:00,In Transit
285,285,29,430,Air Freight,2024-07-11 08:00:00,2024-10-02 14:00:00,In Transit
286,286,158,197,Air Freight,2024-09-29 19:00:00,2024-02-25 20:00:00,Delayed
287,287,382,250,Ship,2024-06-29 08:00:00,2024-02-19 00:00:00,Completed
288,288,269,273,Ship,2024-06-08 21:00:00,2024-09-10 11:00:00,In Transit
289,289,488,162,Air Freight,2024-01-09 19:00:00,2024-02-20 19:00:00,Completed
290,290,209,66,Ship,2024-08-20 16:00:00,2024-05-13 22:00:00,Delayed
291,291,113,55,Truck,2024-04-23 22:00:00,2024-01-12 04:00:00,In Transit
292,292,23,88,Truck,2024-09-24 14:00:00,2024-01-01 22:00:00,In Transit
293,293,175,495,Truck,2024-03-12 23:00:00,2024-10-04 14:00:00,In Transit
294,294,268,409,Air Freight,2024-04-17 17:00:00,2024-10-24 17:00:00,In Transit
295,295,230,6,Truck,2024-10-02 20:00:00,2024-09-29 12:00:00,In Transit
296,296,102,470,Ship,2024-02-14 18:00:00,2024-07-27 09:00:00,In Transit
297,297,247,187,Cargo Van,2024-09-18 06:00:00,2024-06-16 04:00:00,In Transit
298,298,231,459,Cargo Van,2024-08-20 02:00:00,2024-06-12 05:00:00,Delayed
299,299,378,298,Cargo Van,2024-11-24 12:00:00,2024-09-29 14:00:00,Completed
300,300,347,415,Air Freight,2024-01-13 12:00:00,2024-05-17 01:00:00,Completed
301,301,74,121,Ship,2024-09-23 08:00:00,2024-06-30 09:00:00,In Transit
302,302,217,36,Air Freight,2024-10-13 14:00:00,2024-01-21 12:00:00,Completed
303,303,46,130,Ship,2024-11-07 22:00:00,2024-01-03 06:00:00,In Transit
304,304,8,443,Truck,2024-09-24 19:00:00,2024-03-21 11:00:00,Delayed
305,305,103,8,Ship,2024-03-24 00:00:00,2024-04-07 16:00:00,Delayed
306,306,267,475,Air Freight,2024-01-04 13:00:00,2024-11-26 17:00:00,Delayed
307,307,340,4,Cargo Van,2024-05-31 01:00:00,2024-06-03 06:00:00,Delayed
308,308,473,348,Ship,2024-06-24 02:00:00,2024-11-09 22:00:00,In Transit
309,309,376,309,Truck,2024-03-26 08:00:00,2024-08-23 08:00:00,In Transit
310,310,374,494,Air Freight,2024-06-18 13:00:00,2024-10-04 21:00:00,In Transit
311,311,284,102,Air Freight,2024-04-07 14:00:00,2024-02-06 22:00:00,Completed
312,312,455,16,Truck,2024-04-06 09:00:00,2024-09-22 02:00:00,In Transit
313,313,410,228,Air Freight,2024-01-28 14:00:00,2024-10-20 15:00:00,In Transit
314,314,313,352,Truck,2024-11-08 10:00:00,2024-09-08 22:00:00,In Transit
315,315,108,269,Air Freight,2024-07-24 06:00:00,2024-05-22 16:00:00,Completed
316,316,493,271,Ship,2024-03-10 21:00:00,2024-05-21 06:00:00,Completed
317,317,489,472,Cargo Van,2024-10-21 01:00:00,2024-07-09 18:00:00,In Transit
