partner_id,partner_name,vehicle_type,driver_name,experience_years,rating,city,availability_status
47,Nippon Express,Air Freight,Driver_47,1,4.8,Mumbai,Offline
48,Kuehne + Nagel,Air Freight,Driver_48,4,3.59,Mumbai,Offline
49,SF Express,Ship,Driver_49,13,4.29,Dubai,Available
50,Blue Dart Express,Truck,Driver_50,24,4.54,New York,Available
51,UPS Logistics,Cargo Van,Driver_51,4,4.57,London,Offline
52,DHL Express,Air Freight,Driver_52,2,3.12,Singapore,Available
53,Maersk Logistics,Air Freight,Driver_53,6,4.76,New York,Available
54,DB Schenker,Air Freight,Driver_54,5,3.69,London,Busy
55,XPO Logistics,Cargo Van,Driver_55,14,4.5,New York,Available
56,C.H. Robinson,Truck,Driver_56,5,4.44,Dubai,Available
57,Nippon Express,Ship,Driver_57,22,4.13,Mumbai,Busy
58,Kuehne + Nagel,Truck,Driver_58,15,3.41,Dubai,Available
59,SF Express,Ship,Driver_59,8,4.23,Sydney,Offline
60,Blue Dart Express,Air Freight,Driver_60,21,3.21,Berlin,Offline
61,UPS Logistics,Truck,Driver_61,8,4.92,Sydney,Offline
62,DHL Express,Truck,Driver_62,3,4.66,Berlin,Busy
63,Maersk Logistics,Ship,Driver_63,12,4.33,Toronto,Busy
64,DB Schenker,Truck,Driver_64,5,3.74,Toronto,Available
65,XPO Logistics,Air Freight,Driver_65,7,3.04,Mumbai,Available
66,C.H. Robinson,Cargo Van,Driver_66,2,4.04,Berlin,Offline
67,Nippon Express,Air Freight,Driver_67,16,3.44,Toronto,Busy
68,Kuehne + Nagel,Air Freight,Driver_68,10,4.08,Dubai,Available
69,SF Express,Ship,Driver_69,12,4.72,Singapore,Busy
70,Blue Dart Express,Ship,Driver_70,24,3.95,Mumbai,Offline
71,UPS Logistics,Cargo Van,Driver_71,12,3.39,Mumbai,Available
72,DHL Express,Cargo Van,Driver_72,14,4.55,London,Available
73,Maersk Logistics,Ship,Driver_73,2,4.45,Toronto,Available
74,DB Schenker,Ship,Driver_74,5,3.8,Dubai,Offline
75,XPO Logistics,Cargo Van,Driver_75,18,4.89,Berlin,Offline
76,C.H. Robinson,Cargo Van,Driver_76,20,4.82,Berlin,Available
77,Nippon Express,Cargo Van,Driver_77,13,3.34,London,Offline
78,Kuehne + Nagel,Cargo Van,Driver_78,11,3.45,New York,Offline
79,SF Express,Cargo Van,Driver_79,1,4.64,Mumbai,Available
80,Blue Dart Express,Air Freight,Driver_80,3,3.49,Singapore,Offline
81,UPS Logistics,Ship,Driver_81,5,3.7,Sydney,Available
82,DHL Express,Air Freight,Driver_82,13,4.42,New York,Available
83,Maersk Logistics,Ship,Driver_83,15,3.58,New York,Busy
84,DB Schenker,Truck,Driver_84,18,3.12,Berlin,Busy
85,XPO Logistics,Ship,Driver_85,8,4.51,Sydney,Offline
86,C.H. Robinson,Ship,Driver_86,3,3.55,London,Available
87,Nippon Express,Truck,Driver_87,16,3.29,Singapore,Busy
88,Kuehne + Nagel,Cargo Van,Driver_88,21,4.5,London,Available
89,SF Express,Ship,Driver_89,11,3.39,Dubai,Offline
90,Blue Dart Express,Ship,Driver_90,14,3.62,New York,Busy
91,UPS Logistics,Air Freight,Driver_91,9,4.93,Mumbai,Offline
92,DHL Express,Truck,Driver_92,22,4.48,Toronto,Offline
93,Maersk Logistics,Truck,Driver_93,24,3.79,Toronto,Busy
94,DB Schenker,Ship,Driver_94,4,3.49,London,Busy
95,XPO Logistics,Air Freight,Driver_95,10,4.62,Sydney,Available
96,C.H. Robinson,Ship,Driver_96,18,4.56,Berlin,Busy
97,Nippon Express,Air Freight,Driver_97,24,4.07,Toronto,Busy
98,Kuehne + Nagel,Cargo Van,Driver_98,22,4.55,Berlin,Offline
99,SF Express,Ship,Driver_99,19,4.85,Sydney,Busy
100,Blue Dart Express,Air Freight,Driver_100,23,3.45,Toronto,Offline
101,UPS Logistics,Truck,Driver_101,19,3.22,Mumbai,Busy
102,DHL Express,Air Freight,Driver_102,5,4.36,New York,Offline
103,Maersk Logistics,Ship,Driver_103,7,3.81,Singapore,Offline
104,DB Schenker,Cargo Van,Driver_104,24,4.59,Toronto,Available
105,XPO Logistics,Air Freight,Driver_105,4,4.01,Toronto,Busy
106,C.H. Robinson,Cargo Van,Driver_106,22,4.24,Sydney,Available
107,Nippon Express,Cargo Van,Driver_107,12,4.52,Dubai,Available
108,Kuehne + Nagel,Air Freight,Driver_108,24,3.21,Singapore,Available
109,SF Express,Ship,Driver_109,24,3.26,Toronto,Busy
110,Blue Dart Express,Ship,Driver_110,24,3.21,New York,Available
111,UPS Logistics,Truck,Driver_111,1,4.22,Dubai,Busy
112,DHL Express,Ship,Driver_112,19,3.33,Berlin,Available
113,Maersk Logistics,Truck,Driver_113,17,3.76,Dubai,Available
114,DB Schenker,Air Freight,Driver_114,6,3.39,Berlin,Available
115,XPO Logistics,Ship,Driver_115,21,3.16,Toronto,Available
116,C.H. Robinson,Air Freight,Driver_116,6,3.31,Toronto,Offline
117,Nippon Express,Ship,Driver_117,6,4.46,Berlin,Available
118,Kuehne + Nagel,Truck,Driver_118,22,3.01,Singapore,Busy
119,SF Express,Truck,Driver_119,19,3.8,Berlin,Busy
120,Blue Dart Express,Ship,Driver_120,8,4.74,Toronto,Available
121,UPS Logistics,Ship,Driver_121,9,3.37,Mumbai,Busy
122,DHL Express,Cargo Van,Driver_122,8,4.69,Mumbai,Offline
123,Maersk Logistics,Cargo Van,Driver_123,20,4.96,Berlin,Busy
124,DB Schenker,Truck,Driver_124,24,4.34,Berlin,Offline
125,XPO Logistics,Ship,Driver_125,23,3.51,London,Available
126,C.H. Robinson,Truck,Driver_126,14,4.09,Berlin,Busy
127,Nippon Express,Cargo Van,Driver_127,7,4.2,New York,Busy
128,Kuehne + Nagel,Air Freight,Driver_128,1,3.55,Toronto,Offline
129,SF Express,Ship,Driver_129,9,3.42,London,Busy
130,Blue Dart Express,Truck,Driver_130,12,3.29,Sydney,Busy
131,UPS Logistics,Air Freight,Driver_131,19,3.36,Sydney,Busy
132,DHL Express,Cargo Van,Driver_132,1,3.86,Toronto,Available
133,Maersk Logistics,Cargo Van,Driver_133,19,3.45,Berlin,Busy
134,DB Schenker,Cargo Van,Driver_134,15,4.88,Sydney,Offline
135,XPO Logistics,Ship,Driver_135,24,3.78,Singapore,Offline
136,C.H. Robinson,Truck,Driver_136,21,3.3,Sydney,Busy
137,Nippon Express,Air Freight,Driver_137,7,4.24,Berlin,Busy
138,Kuehne + Nagel,Ship,Driver_138,6,3.74,Dubai,Busy
139,SF Express,Air Freight,Driver_139,3,4.72,London,Busy
140,Blue Dart Express,Cargo Van,Driver_140,22,4.02,Mumbai,Offline
141,UPS Logistics,Air Freight,Driver_141,6,3.66,Dubai,Offline
142,DHL Express,Air Freight,Driver_142,10,4.1,Mumbai,Busy
143,Maersk Logistics,Air Freight,Driver_143,4,4.36,Dubai,Offline
144,DB Schenker,Air Freight,Driver_144,12,3.09,Singapore,Available
145,XPO Logistics,Air Freight,Driver_145,20,3.79,Dubai,Available
146,C.H. Robinson,Air Freight,Driver_146,7,4.3,London,Available
147,Nippon Express,Air Freight,Driver_147,22,4.42,Singapore,Busy
148,Kuehne + Nagel,Truck,Driver_148,19,4.97,London,Offline
149,SF Express,Truck,Driver_149,14,3.16,London,Available
150,Blue Dart Express,Air Freight,Driver_150,10,4.59,Mumbai,Available
151,UPS Logistics,Air Freight,Driver_151,1,4.19,New York,Offline
152,DHL Express,Cargo Van,Driver_152,2,4.19,Singapore,Offline
153,Maersk Logistics,Air Freight,Driver_153,18,4.79,Toronto,Busy
154,DB Schenker,Ship,Driver_154,15,4.14,Toronto,Available
155,XPO Logistics,Air Freight,Driver_155,7,3.78,London,Offline
156,C.H. Robinson,Cargo Van,Driver_156,5,4.05,Dubai,Busy
157,Nippon Express,Truck,Driver_157,24,4.2,Sydney,Available
158,Kuehne + Nagel,Air Freight,Driver_158,14,3.73,Singapore,Busy
159,SF Express,Truck,Driver_159,22,4.46,Toronto,Available
160,Blue Dart Express,Ship,Driver_160,23,4.38,London,Available
161,UPS Logistics,Truck,Driver_161,22,4.46,Mumbai,Busy
162,DHL Express,Truck,Driver_162,7,3.09,Toronto,Busy
163,Maersk Logistics,Air Freight,Driver_163,14,4.38,Dubai,Available
164,DB Schenker,Ship,Driver_164,20,3.64,Toronto,Offline
165,XPO Logistics,Air Freight,Driver_165,14,4.56,Singapore,Available
166,C.H. Robinson,Ship,Driver_166,2,3.25,Mumbai,Available
167,Nippon Express,Cargo Van,Driver_167,10,3.89,Sydney,Busy
168,Kuehne + Nagel,Air Freight,Driver_168,3,4.64,Dubai,Offline
169,SF Express,Ship,Driver_169,13,3.4,Berlin,Busy
170,Blue Dart Express,Air Freight,Driver_170,20,4.92,New York,Offline
171,UPS Logistics,Air Freight,Driver_171,3,3.2,New York,Busy
172,DHL Express,Ship,Driver_172,12,4.95,Singapore,Available
173,Maersk Logistics,Ship,Driver_173,20,3.58,Toronto,Busy
174,DB Schenker,Ship,Driver_174,15,3.45,Toronto,Available
175,XPO Logistics,Ship,Driver_175,15,3.12,Dubai,Available
176,C.H. Robinson,Ship,Driver_176,13,4.0,Toronto,Available
177,Nippon Express,Ship,Driver_177,24,3.81,Singapore,Available
178,Kuehne + Nagel,Truck,Driver_178,12,4.38,Sydney,Available
179,SF Express,Air Freight,Driver_179,9,4.36,London,Offline
180,Blue Dart Express,Ship,Driver_180,18,3.64,New York,Offline
181,UPS Logistics,Truck,Driver_181,5,4.44,New York,Offline
182,DHL Express,Air Freight,Driver_182,3,4.7,Toronto,Offline
183,Maersk Logistics,Truck,Driver_183,10,4.8,Mumbai,Busy
184,DB Schenker,Air Freight,Driver_184,24,4.21,Dubai,Offline
185,XPO Logistics,Cargo Van,Driver_185,9,3.53,Toronto,Offline
186,C.H. Robinson,Truck,Driver_186,3,4.29,London,Available
187,Nippon Express,Cargo Van,Driver_187,19,3.32,Sydney,Offline
188,Kuehne + Nagel,Air Freight,Driver_188,14,3.34,Sydney,Offline
189,SF Express,Truck,Driver_189,1,4.24,Berlin,Busy
190,Blue Dart Express,Air Freight,Driver_190,5,4.98,London,Busy
191,UPS Logistics,Truck,Driver_191,5,3.1,Berlin,Busy
192,DHL Express,Ship,Driver_192,3,3.41,London,Busy
193,Maersk Logistics,Cargo Van,Driver_193,21,4.0,Sydney,Offline
194,DB Schenker,Ship,Driver_194,18,4.4,Sydney,Available
195,XPO Logistics,Air Freight,Driver_195,1,4.95,New York,Offline
196,C.H. Robinson,Truck,Driver_196,24,3.57,Sydney,Offline
197,Nippon Express,Air Freight,Driver_197,1,3.43,London,Offline
198,Kuehne + Nagel,Truck,Driver_198,1,3.15,Dubai,Available
199,SF Express,Truck,Driver_199,5,4.53,Mumbai,Available
200,Blue Dart Express,Cargo Van,Driver_200,10,3.54,Mumbai,Available
201,UPS Logistics,Ship,Driver_201,7,3.99,London,Available
202,DHL Express,Truck,Driver_202,19,3.78,Berlin,Offline
203,Maersk Logistics,Truck,Driver_203,19,4.22,Berlin,Available
204,DB Schenker,Truck,Driver_204,3,4.26,Sydney,Busy
205,XPO Logistics,Truck,Driver_205,23,4.58,Berlin,Offline
206,C.H. Robinson,Air Freight,Driver_206,16,4.35,Singapore,Offline
207,Nippon Express,Ship,Driver_207,9,4.37,Toronto,Busy
208,Kuehne + Nagel,Cargo Van,Driver_208,3,3.57,Toronto,Busy
209,SF Express,Cargo Van,Driver_209,16,3.81,Dubai,Available
210,Blue Dart Express,Truck,Driver_210,16,4.82,Singapore,Busy
211,UPS Logistics,Air Freight,Driver_211,4,3.13,Singapore,Offline
212,DHL Express,Ship,Driver_212,14,4.24,New York,Busy
213,Maersk Logistics,Truck,Driver_213,4,3.97,Berlin,Busy
214,DB Schenker,Air Freight,Driver_214,13,3.61,Berlin,Available
215,XPO Logistics,Air Freight,Driver_215,3,3.25,Mumbai,Offline
216,C.H. Robinson,Air Freight,Driver_216,12,3.68,Singapore,Available
217,Nippon Express,Ship,Driver_217,4,4.72,Mumbai,Busy
218,Kuehne + Nagel,Truck,Driver_218,11,3.27,Sydney,Offline
219,SF Express,Cargo Van,Driver_219,16,3.52,Singapore,Busy
220,Blue Dart Express,Truck,Driver_220,19,4.07,Singapore,Busy
221,UPS Logistics,Ship,Driver_221,2,4.27,Dubai,Offline
222,DHL Express,Air Freight,Driver_222,24,3.07,Sydney,Offline
223,Maersk Logistics,Truck,Driver_223,14,4.1,Mumbai,Busy
224,DB Schenker,Cargo Van,Driver_224,14,4.74,Sydney,Offline
225,XPO Logistics,Cargo Van,Driver_225,11,3.17,Berlin,Busy
226,C.H. Robinson,Cargo Van,Driver_226,15,4.48,Sydney,Busy
227,Nippon Express,Truck,Driver_227,23,3.68,New York,Available
228,Kuehne + Nagel,Truck,Driver_228,21,3.31,London,Busy
229,SF Express,Cargo Van,Driver_229,18,3.34,Sydney,Available
230,Blue Dart Express,Cargo Van,Driver_230,12,4.4,Toronto,Offline
231,UPS Logistics,Air Freight,Driver_231,2,3.04,Toronto,Offline
232,DHL Express,Air Freight,Driver_232,2,3.01,Singapore,Offline
233,Maersk Logistics,Truck,Driver_233,20,3.91,Berlin,Busy
234,DB Schenker,Ship,Driver_234,11,3.01,Mumbai,Busy
235,XPO Logistics,Cargo Van,Driver_235,16,3.81,New York,Busy
236,C.H. Robinson,Cargo Van,Driver_236,9,3.12,Toronto,Available
237,Nippon Express,Truck,Driver_237,23,4.63,Dubai,Offline
238,Kuehne + Nagel,Ship,Driver_238,1,3.17,Singapore,Available
239,SF Express,Cargo Van,Driver_239,11,4.01,Mumbai,Busy
240,Blue Dart Express,Cargo Van,Driver_240,9,3.37,Toronto,Busy
241,UPS Logistics,Cargo Van,Driver_241,13,3.87,Mumbai,Offline
242,DHL Express,Air Freight,Driver_242,18,4.76,London,Busy
243,Maersk Logistics,Ship,Driver_243,19,4.88,Dubai,Busy
244,DB Schenker,Air Freight,Driver_244,5,3.21,New York,Offline
245,XPO Logistics,Air Freight,Driver_245,12,4.51,Sydney,Busy
246,C.H. Robinson,Ship,Driver_246,13,4.19,Mumbai,Offline
247,Nippon Express,Ship,Driver_247,18,4.99,Sydney,Offline
248,Kuehne + Nagel,Ship,Driver_248,17,4.24,Singapore,Busy
249,SF Express,Air Freight,Driver_249,20,4.32,London,Busy
250,Blue Dart Express,Cargo Van,Driver_250,2,3.71,Sydney,Available
251,UPS Logistics,Ship,Driver_251,11,3.38,Dubai,Busy
252,DHL Express,Cargo Van,Driver_252,5,3.8,Singapore,Busy
253,Maersk Logistics,Truck,Driver_253,10,3.43,Dubai,Offline
254,DB Schenker,Cargo Van,Driver_254,17,3.99,Mumbai,Available
255,XPO Logistics,Truck,Driver_255,19,3.16,Mumbai,Available
256,C.H. Robinson,Ship,Driver_256,2,3.97,Mumbai,Offline
257,Nippon Express,Truck,Driver_257,19,3.86,New York,Available
258,Kuehne + Nagel,Truck,Driver_258,23,4.5,New York,Available
259,SF Express,Cargo Van,Driver_259,3,3.16,Berlin,Busy
260,Blue Dart Express,Cargo Van,Driver_260,18,4.41,London,Busy
261,UPS Logistics,Truck,Driver_261,23,4.47,Sydney,Available
262,DHL Express,Truck,Driver_262,10,3.31,Berlin,Offline
263,Maersk Logistics,Cargo Van,Driver_263,19,3.55,Sydney,Available
264,DB Schenker,Air Freight,Driver_264,16,3.82,Mumbai,Busy
265,XPO Logistics,Cargo Van,Driver_265,11,3.71,Toronto,Available
266,C.H. Robinson,Ship,Driver_266,1,4.61,New York,Available
267,Nippon Express,Ship,Driver_267,20,3.14,Dubai,Busy
268,Kuehne + Nagel,Ship,Driver_268,9,4.4,Mumbai,Available
269,SF Express,Air Freight,Driver_269,10,4.53,Berlin,Busy
270,Blue Dart Express,Cargo Van,Driver_270,11,3.49,Dubai,Busy
271,UPS Logistics,Air Freight,Driver_271,12,3.66,Singapore,Available
272,DHL Express,Ship,Driver_272,23,3.39,Sydney,Available
273,Maersk Logistics,Cargo Van,Driver_273,6,3.51,London,Available
274,DB Schenker,Truck,Driver_274,15,4.32,Singapore,Busy
275,XPO Logistics,Ship,Driver_275,4,4.75,London,Offline
276,C.H. Robinson,Air Freight,Driver_276,20,3.85,Sydney,Available
277,Nippon Express,Truck,Driver_277,5,4.1,Toronto,Offline
278,Kuehne + Nagel,Truck,Driver_278,7,4.17,Toronto,Busy
279,SF Express,Cargo Van,Driver_279,6,4.16,Toronto,Available
280,Blue Dart Express,Cargo Van,Driver_280,20,4.64,Berlin,Available
281,UPS Logistics,Truck,Driver_281,15,4.87,Toronto,Available
282,DHL Express,Air Freight,Driver_282,13,4.05,Toronto,Busy
283,Maersk Logistics,Cargo Van,Driver_283,7,3.57,Mumbai,Available
284,DB Schenker,Ship,Driver_284,17,4.65,Berlin,Offline
285,XPO Logistics,Air Freight,Driver_285,20,3.54,Toronto,Offline
286,C.H. Robinson,Air Freight,Driver_286,24,4.53,Singapore,Busy
287,Nippon Express,Ship,Driver_287,23,3.99,Sydney,Offline
288,Kuehne + Nagel,Ship,Driver_288,7,3.99,Sydney,Available
289,SF Express,Cargo Van,Driver_289,6,3.07,London,Busy
290,Blue Dart Express,Air Freight,Driver_290,14,4.88,London,Busy
291,UPS Logistics,Cargo Van,Driver_291,11,3.67,Sydney,Offline
292,DHL Express,Ship,Driver_292,1,3.89,Toronto,Offline
293,Maersk Logistics,Ship,Driver_293,4,3.32,Dubai,Offline
294,DB Schenker,Ship,Driver_294,5,4.59,Dubai,Busy
295,XPO Logistics,Air Freight,Driver_295,18,4.72,Berlin,Available
296,C.H. Robinson,Ship,Driver_296,12,3.53,Sydney,Busy
297,Nippon Express,Truck,Driver_297,20,3.33,Dubai,Offline
298,Kuehne + Nagel,Air Freight,Driver_298,15,4.84,Toronto,Offline
299,SF Express,Truck,Driver_299,18,4.26,Berlin,Busy
300,Blue Dart Express,Truck,Driver_300,22,4.97,Dubai,Busy
301,UPS Logistics,Air Freight,Driver_301,11,3.58,Toronto,Available
302,DHL Express,Cargo Van,Driver_302,8,4.55,Mumbai,Busy
303,Maersk Logistics,Ship,Driver_303,20,3.4,Dubai,Available
304,DB Schenker,Truck,Driver_304,16,4.67,Singapore,Offline
305,XPO Logistics,Air Freight,Driver_305,24,3.56,Mumbai,Offline
306,C.H. Robinson,Air Freight,Driver_306,17,4.0,London,Offline
307,Nippon Express,Air Freight,Driver_307,3,4.4,Sydney,Available
308,Kuehne + Nagel,Cargo Van,Driver_308,7,4.67,London,Busy
309,SF Express,Cargo Van,Driver_309,22,4.67,Dubai,Available
310,Blue Dart Express,Truck,Driver_310,1,3.06,Dubai,Busy
311,UPS Logistics,Ship,Driver_311,15,3.57,Berlin,Offline
312,DHL Express,Cargo Van,Driver_312,9,4.11,Dubai,Offline
313,Maersk Logistics,Air Freight,Driver_313,11,3.11,London,Busy
314,DB Schenker,Ship,Driver_314,15,3.27,Singapore,Available
315,XPO Logistics,Air Freight,Driver_315,16,3.37,Singapore,Offline
316,C.H. Robinson,Air Freight,Driver_316,22,4.71,Berlin,Available
317,Nippon Express,Cargo Van,Driver_317,2,4.86,Mumbai,Offline
318,Kuehne + Nagel,Cargo Van,Driver_318,9,3.15,Toronto,Available
319,SF Express,Air Freight,Driver_319,1,3.91,New York,Available
320,Blue Dart Express,Air Freight,Driver_320,10,3.32,Dubai,Available
321,UPS Logistics,Air Freight,Driver_321,14,3.63,Sydney,Offline
322,DHL Express,Cargo Van,Driver_322,14,3.68,Mumbai,Offline
323,Maersk Logistics,Air Freight,Driver_323,14,3.02,Dubai,Busy
324,DB Schenker,Cargo Van,Driver_324,9,4.07,Dubai,Busy
325,XPO Logistics,Air Freight,Driver_325,1,4.38,Singapore,Offline
326,C.H. Robinson,Cargo Van,Driver_326,9,3.55,Berlin,Offline
327,Nippon Express,Ship,Driver_327,10,3.31,Berlin,Offline
328,Kuehne + Nagel,Ship,Driver_328,19,3.59,Singapore,Available
329,SF Express,Ship,Driver_329,18,3.93,Toronto,Offline
330,Blue Dart Express,Truck,Driver_330,24,4.4,Singapore,Busy
331,UPS Logistics,Air Freight,Driver_331,16,3.92,Berlin,Busy
332,DHL Express,Cargo Van,Driver_332,17,3.83,Toronto,Available
333,Maersk Logistics,Cargo Van,Driver_333,13,3.9,New York,Busy
334,DB Schenker,Ship,Driver_334,4,3.61,Berlin,Available
335,XPO Logistics,Air Freight,Driver_335,14,4.31,Dubai,Offline
336,C.H. Robinson,Truck,Driver_336,6,3.74,Dubai,Available
337,Nippon Express,Cargo Van,Driver_337,6,3.44,Sydney,Busy
338,Kuehne + Nagel,Truck,Driver_338,21,4.39,Berlin,Available
339,SF Express,Air Freight,Driver_339,4,4.18,Sydney,Available
340,Blue Dart Express,Ship,Driver_340,17,3.83,Dubai,Available
341,UPS Logistics,Air Freight,Driver_341,15,3.94,New York,Busy
342,DHL Express,Cargo Van,Driver_342,5,4.65,Singapore,Available
343,Maersk Logistics,Truck,Driver_343,6,3.7,Toronto,Available
344,DB Schenker,Air Freight,Driver_344,1,4.04,Dubai,Busy
345,XPO Logistics,Truck,Driver_345,14,3.03,New York,Busy
346,C.H. Robinson,Cargo Van,Driver_346,12,3.44,Singapore,Available
347,Nippon Express,Truck,Driver_347,10,3.48,London,Offline
348,Kuehne + Nagel,Truck,Driver_348,18,3.4,Toronto,Offline
349,SF Express,Air Freight,Driver_349,16,4.21,Singapore,Busy
350,Blue Dart Express,Truck,Driver_350,18,4.47,Sydney,Offline
351,UPS Logistics,Ship,Driver_351,2,3.44,Toronto,Offline
352,DHL Express,Ship,Driver_352,3,4.17,Sydney,Busy
353,Maersk Logistics,Truck,Driver_353,19,3.01,Toronto,Available
354,DB Schenker,Air Freight,Driver_354,18,3.56,Singapore,Busy
355,XPO Logistics,Cargo Van,Driver_355,5,4.6,Sydney,Offline
356,C.H. Robinson,Cargo Van,Driver_356,14,4.0,Dubai,Available
357,Nippon Express,Truck,Driver_357,21,3.24,Singapore,Available
358,Kuehne + Nagel,Cargo Van,Driver_358,17,4.12,New York,Available
359,SF Express,Truck,Driver_359,7,4.67,Dubai,Offline
360,Blue Dart Express,Truck,Driver_360,23,3.96,Singapore,Offline
361,UPS Logistics,Ship,Driver_361,4,3.45,Singapore,Available
362,DHL Express,Truck,Driver_362,9,3.46,Singapore,Offline
363,Maersk Logistics,Truck,Driver_363,22,3.15,London,Available
364,DB Schenker,Air Freight,Driver_364,23,4.97,Mumbai,Offline
365,XPO Logistics,Ship,Driver_365,16,4.2,Toronto,Offline
366,C.H. Robinson,Truck,Driver_366,7,4.89,Singapore,Offline
367,Nippon Express,Truck,Driver_367,24,4.97,Sydney,Offline
368,Kuehne + Nagel,Truck,Driver_368,16,3.58,Sydney,Busy
369,SF Express,Truck,Driver_369,20,4.98,New York,Available
370,Blue Dart Express,Air Freight,Driver_370,22,3.79,Mumbai,Offline
371,UPS Logistics,Cargo Van,Driver_371,23,4.77,Sydney,Offline
372,DHL Express,Ship,Driver_372,6,4.25,Sydney,Busy
373,Maersk Logistics,Cargo Van,Driver_373,18,4.55,London,Busy
374,DB Schenker,Air Freight,Driver_374,20,3.14,Dubai,Busy
375,XPO Logistics,Air Freight,Driver_375,6,3.3,Toronto,Busy
376,C.H. Robinson,Truck,Driver_376,11,3.59,Sydney,Busy
377,Nippon Express,Truck,Driver_377,19,3.18,Singapore,Offline
378,Kuehne + Nagel,Truck,Driver_378,16,3.99,Singapore,Offline
379,SF Express,Ship,Driver_379,4,3.67,New York,Busy
380,Blue Dart Express,Air Freight,Driver_380,16,4.65,Sydney,Busy
381,UPS Logistics,Cargo Van,Driver_381,24,3.08,London,Busy
382,DHL Express,Ship,Driver_382,3,4.45,Dubai,Busy
383,Maersk Logistics,Air Freight,Driver_383,24,3.84,Mumbai,Offline
384,DB Schenker,Air Freight,Driver_384,13,3.15,Toronto,Offline
385,XPO Logistics,Air Freight,Driver_385,1,3.34,Dubai,Busy
386,C.H. Robinson,Ship,Driver_386,10,4.71,Dubai,Available
387,Nippon Express,Air Freight,Driver_387,12,3.1,Mumbai,Available
388,Kuehne + Nagel,Ship,Driver_388,1,3.91,Sydney,Offline
389,SF Express,Cargo Van,Driver_389,21,4.1,Dubai,Busy
390,Blue Dart Express,Cargo Van,Driver_390,13,3.45,Dubai,Busy
391,UPS Logistics,Truck,Driver_391,13,4.76,Toronto,Busy
392,DHL Express,Air Freight,Driver_392,13,4.14,Singapore,Available
393,Maersk Logistics,Air Freight,Driver_393,20,3.54,Toronto,Available
