shipment_id,order_id,warehouse_id,partner_id,route_id,shipment_status,dispatch_date,delivery_date
85,85,267,436,543,Delivered,2024-01-26,2025-02-02
86,86,53,156,3549,In Transit,2024-02-21,2024-05-20
87,87,29,28,2475,Delivered,2025-03-22,2024-04-07
88,88,372,1485,2398,Delayed,2024-06-24,2025-05-23
89,89,419,143,1291,Delivered,2024-12-12,2025-05-09
90,90,299,926,3604,In Transit,2024-12-21,2025-03-12
91,91,423,1468,293,Cancelled,2024-04-12,2024-10-14
92,92,257,732,3018,Delayed,2025-03-22,2025-05-27
93,93,265,686,3916,Cancelled,2024-03-13,2024-06-24
94,94,458,1723,1553,Cancelled,2024-09-17,2024-04-17
95,95,141,755,356,Delivered,2024-11-24,2025-01-24
96,96,19,1687,2798,Delayed,2024-11-20,2024-07-02
97,97,493,603,4719,Delayed,2024-12-24,2024-01-30
98,98,160,1752,3893,Delivered,2024-08-24,2024-02-17
99,99,245,1428,540,Delayed,2024-08-21,2024-03-12
100,100,228,554,2482,Delayed,2025-02-27,2024-03-13
101,101,138,23,1270,Delayed,2024-04-20,2025-01-28
102,102,423,181,3115,In Transit,2024-03-03,2025-04-18
103,103,319,1858,4372,Delivered,2024-10-30,2024-08-16
104,104,259,1124,3796,In Transit,2024-02-06,2024-02-19
105,105,283,1151,305,Delayed,2024-01-30,2024-10-16
106,106,230,977,4873,Cancelled,2024-02-28,2024-11-20
107,107,186,99,101,Cancelled,2024-12-31,2025-02-17
108,108,337,1553,3027,In Transit,2025-01-01,2024-10-07
109,109,25,1672,3798,Delivered,2024-10-06,2024-09-27
110,110,462,232,2462,Delayed,2024-03-19,2025-05-28
111,111,89,1616,2731,Delayed,2025-03-15,2024-08-05
112,112,338,105,3281,Delayed,2024-08-23,2024-09-14
113,113,85,35,4967,Delivered,2025-05-04,2024-09-30
114,114,314,1641,2880,Delayed,2024-01-13,2024-07-24
115,115,204,744,2295,Cancelled,2025-05-15,2024-01-04
116,116,30,1512,2352,Delayed,2025-01-30,2025-05-22
117,117,117,1820,3023,Cancelled,2025-03-04,2024-02-13
118,118,74,1020,1504,Delivered,2025-03-05,2024-12-09
119,119,214,594,2293,Delivered,2024-12-25,2024-09-23
120,120,462,43,2217,In Transit,2024-09-01,2024-05-30
121,121,19,984,1224,Delivered,2024-01-26,2025-01-02
122,122,423,222,1739,Cancelled,2024-09-19,2024-01-18
123,123,274,167,30,In Transit,2025-02-07,2024-12-15
124,124,496,68,895,Delayed,2024-12-04,2024-04-21
125,125,136,1268,1612,In Transit,2024-08-21,2025-01-28
126,126,392,582,4750,Delayed,2024-10-06,2024-01-23
127,127,314,865,15,In Transit,2024-01-17,2025-02-02
128,128,370,1638,928,Delayed,2024-06-29,2024-08-31
129,129,390,818,4019,Delivered,2024-12-05,2024-02-28
130,130,213,810,974,Delivered,2025-02-28,2025-03-07
131,131,436,576,303,Cancelled,2024-11-29,2024-12-01
132,132,23,535,3247,Delivered,2025-04-28,2025-03-11
133,133,101,637,919,Delivered,2024-10-16,2024-11-23
134,134,223,1060,1527,Delivered,2025-02-12,2024-11-27
135,135,447,888,3649,Delayed,2024-01-02,2025-03-29
136,136,239,574,972,Delayed,2024-10-28,2024-12-17
137,137,30,820,4694,Cancelled,2025-04-28,2025-03-14
138,138,351,916,2792,Delayed,2024-02-21,2025-04-04
139,139,327,78,137,In Transit,2024-10-24,2024-12-12
140,140,473,1639,4800,In Transit,2025-03-21,2025-03-15
141,141,406,758,239,In Transit,2024-09-18,2024-07-31
142,142,490,1267,4997,Delayed,2024-01-27,2024-08-23
143,143,186,1368,2088,In Transit,2025-03-04,2024-05-20
144,144,217,725,942,Delivered,2024-09-21,2025-01-26
145,145,456,1141,502,Delayed,2025-01-17,2024-03-10
146,146,393,893,2968,In Transit,2024-03-18,2025-05-03
147,147,360,508,1480,In Transit,2025-01-30,2024-04-24
148,148,120,953,3121,Delivered,2024-10-23,2025-02-16
149,149,400,988,3604,In Transit,2024-10-24,2024-02-04
150,150,315,1438,618,Delayed,2024-04-21,2024-01-09
151,151,127,1074,3584,In Transit,2024-01-16,2025-02-02
152,152,144,1555,3499,In Transit,2024-06-18,2024-08-22
153,153,130,1406,4332,Delayed,2024-11-28,2024-05-22
154,154,241,397,2974,Delayed,2024-12-19,2024-02-26
155,155,136,250,1059,Delayed,2024-01-25,2024-09-22
156,156,274,1858,1291,Delivered,2024-03-09,2024-05-08
157,157,145,1349,1280,Delayed,2024-07-02,2024-07-24
158,158,343,301,1285,In Transit,2024-06-15,2024-04-26
159,159,105,990,4869,Delivered,2025-01-14,2024-11-21
160,160,460,828,3340,In Transit,2024-03-15,2024-06-11
161,161,188,719,2009,In Transit,2025-05-05,2024-08-12
162,162,86,1556,4537,Delayed,2024-06-13,2024-11-21
163,163,337,1613,4195,Cancelled,2024-12-24,2024-02-11
164,164,323,77,3719,In Transit,2025-03-01,2024-06-10
165,165,99,675,986,Cancelled,2024-04-22,2024-04-09
166,166,184,248,165,Delayed,2025-03-19,2024-01-16
167,167,482,928,770,Delayed,2024-01-04,2024-11-15
168,168,386,510,886,Delayed,2025-02-08,2024-03-05
169,169,465,868,1004,Cancelled,2024-05-13,2025-05-18
170,170,275,1996,1174,Delivered,2024-11-26,2024-02-10
171,171,438,1595,3050,Delayed,2024-04-13,2025-03-29
172,172,499,661,1878,In Transit,2024-10-29,2024-03-23
173,173,292,636,4500,Delivered,2024-10-22,2024-07-13
174,174,248,319,4060,Delivered,2024-12-19,2024-07-08
175,175,184,577,2996,In Transit,2024-11-09,2024-07-05
176,176,69,1530,540,In Transit,2025-03-29,2024-07-16
177,177,141,1648,3592,Cancelled,2024-06-21,2024-08-20
178,178,485,892,1622,Cancelled,2025-02-05,2024-11-07
179,179,476,1496,4509,Cancelled,2024-07-11,2025-02-03
180,180,169,1490,2233,In Transit,2024-03-27,2024-06-26
181,181,285,1457,1252,In Transit,2024-06-27,2024-11-20
182,182,308,1976,3301,In Transit,2024-10-20,2024-09-14
183,183,127,1611,4306,Delayed,2025-02-09,2024-08-10
184,184,315,1627,4994,Cancelled,2024-12-31,2024-01-11
185,185,372,1807,895,In Transit,2024-02-17,2025-05-07
186,186,343,1253,2234,Delayed,2024-09-29,2025-01-12
187,187,162,970,1141,Delayed,2025-04-11,2024-02-10
188,188,7,1067,912,Cancelled,2024-09-21,2024-12-05
189,189,477,584,4140,Delayed,2024-11-13,2024-01-08
190,190,326,174,3659,Cancelled,2024-10-14,2025-02-04
191,191,360,1566,4923,Delivered,2025-04-16,2024-07-02
192,192,248,392,338,Delivered,2025-03-04,2024-11-09
193,193,239,1447,4392,In Transit,2024-01-22,2024-05-02
194,194,251,1463,1495,Cancelled,2024-01-23,2024-10-14
195,195,259,849,120,Cancelled,2025-01-29,2024-10-28
196,196,348,1203,3586,In Transit,2024-04-06,2024-05-29
197,197,461,1328,2322,Delayed,2024-04-20,2025-05-11
198,198,450,884,1330,In Transit,2024-04-26,2024-11-09
199,199,210,1124,2133,Delayed,2024-11-17,2025-02-08
200,200,302,1751,1673,Delayed,2024-01-26,2025-01-24
201,201,144,1670,2693,Cancelled,2025-05-12,2025-02-20
202,202,260,1661,3896,Delivered,2025-02-15,2025-02-05
203,203,122,562,4230,In Transit,2024-09-27,2025-01-11
204,204,308,1486,3405,Delayed,2025-01-30,2025-02-04
205,205,102,342,440,Cancelled,2024-09-07,2024-04-11
206,206,34,843,4334,Cancelled,2024-05-06,2025-02-12
207,207,254,1236,2684,Cancelled,2024-03-28,2024-08-30
208,208,383,1825,1034,Delayed,2024-09-17,2024-11-29
209,209,393,922,1050,Cancelled,2024-12-08,2024-06-08
210,210,247,1710,1016,Delayed,2024-08-13,2025-05-02
211,211,52,821,3008,Delivered,2024-05-11,2024-02-14
212,212,318,1806,333,Delayed,2024-08-06,2024-02-22
213,213,467,1075,1212,Cancelled,2025-03-12,2024-06-05
214,214,270,1868,3314,In Transit,2024-07-05,2024-01-03
215,215,403,1615,2529,Delivered,2024-12-27,2024-12-07
216,216,236,1475,3104,Delayed,2024-02-19,2024-11-27
217,217,139,877,541,Delivered,2024-05-10,2024-12-01
218,218,292,30,3124,Delivered,2024-02-08,2024-02-20
219,219,69,437,4067,Delivered,2024-06-06,2025-02-15
220,220,215,808,921,Delivered,2025-05-05,2024-03-01
221,221,51,1607,3567,In Transit,2024-06-06,2024-03-11
222,222,14,1359,4610,Cancelled,2024-10-08,2024-04-30
223,223,221,1865,1120,Cancelled,2025-02-19,2024-12-04
224,224,82,151,2189,Delivered,2024-09-27,2025-02-22
225,225,84,1004,4428,In Transit,2024-04-12,2024-10-30
226,226,206,1567,1863,Delivered,2024-07-15,2024-11-26
227,227,44,219,4536,Delayed,2024-04-01,2024-12-19
228,228,280,1952,4366,Cancelled,2024-08-06,2024-01-20
229,229,312,369,1129,Delivered,2024-07-17,2025-02-12
230,230,94,643,3495,In Transit,2024-10-26,2024-06-19
231,231,44,781,1223,In Transit,2025-01-05,2024-03-06
232,232,394,1295,3011,Delayed,2024-03-21,2024-09-29
233,233,59,843,3057,Delivered,2024-02-21,2024-11-15
234,234,91,1845,800,Delivered,2024-10-18,2024-08-21
235,235,70,179,4834,Delivered,2024-03-13,2025-04-13
236,236,65,1547,1461,Cancelled,2025-02-01,2024-08-05
237,237,333,1914,4670,Cancelled,2024-04-29,2025-05-20
238,238,476,476,48,Delayed,2025-05-11,2025-03-17
239,239,175,1839,2091,In Transit,2024-11-28,2024-09-09
240,240,194,784,4021,Cancelled,2024-12-11,2024-07-21
241,241,103,224,1649,Cancelled,2024-09-11,2024-01-18
242,242,391,913,3725,Delivered,2024-07-16,2025-04-24
243,243,355,1711,1504,Cancelled,2024-06-25,2024-11-18
244,244,425,755,2649,Cancelled,2024-09-30,2024-02-07
245,245,1,430,3007,Delivered,2024-01-05,2025-01-21
246,246,65,438,1819,Delayed,2024-06-25,2024-10-29
247,247,84,1392,4496,Delayed,2024-12-23,2024-06-30
248,248,495,1115,2534,Cancelled,2024-12-14,2025-04-27
249,249,105,1970,921,Delivered,2024-03-27,2024-09-21
250,250,389,949,4225,In Transit,2025-01-06,2024-02-07
251,251,342,1421,3449,Delivered,2025-02-11,2024-06-25
252,252,477,1960,2498,In Transit,2025-02-15,2025-01-02
253,253,277,1830,3704,In Transit,2024-07-18,2024-03-10
254,254,388,708,865,Delayed,2024-01-24,2025-04-11
255,255,480,485,4355,Delayed,2024-06-28,2024-08-27
256,256,38,1142,2863,Delivered,2025-02-02,2025-05-02
257,257,202,1424,1498,Delayed,2024-03-25,2024-07-27
258,258,27,786,1352,In Transit,2024-03-31,2024-04-03
259,259,12,126,2768,Delayed,2025-05-12,2025-03-23
260,260,384,1666,3029,In Transit,2024-03-05,2024-08-17
261,261,397,1894,4944,Delayed,2025-04-27,2024-12-02
262,262,266,562,3641,Delayed,2024-11-28,2024-04-13
263,263,59,1718,3702,In Transit,2025-01-22,2025-02-09
264,264,348,687,206,Delivered,2024-05-06,2025-05-31
265,265,21,8,2127,Cancelled,2025-03-10,2024-04-03
266,266,23,8,1379,Cancelled,2024-02-26,2024-04-10
267,267,479,226,464,Delayed,2025-03-12,2024-05-03
268,268,24,112,4377,Delivered,2024-07-19,2025-03-02
269,269,295,1507,1345,In Transit,2024-10-02,2024-08-03
270,270,428,31,3686,Delivered,2024-09-13,2024-08-08
271,271,314,536,269,Cancelled,2024-06-16,2024-12-24
272,272,344,1313,1680,In Transit,2025-02-27,2024-07-20
273,273,50,224,4768,Delivered,2025-02-03,2024-10-30
274,274,455,603,2639,Cancelled,2024-05-11,2024-06-11
275,275,354,1168,2209,Cancelled,2024-11-09,2025-03-17
276,276,327,655,3214,Delivered,2025-03-07,2024-06-09
277,277,323,1566,369,Cancelled,2024-06-16,2024-02-20
278,278,456,677,135,Cancelled,2024-12-03,2024-06-10
279,279,73,614,744,Cancelled,2025-04-24,2024-02-07
280,280,130,528,3674,Delivered,2024-08-08,2025-01-02
281,281,194,401,285,Cancelled,2025-05-04,2024-08-23
282,282,82,214,4455,Delivered,2024-09-10,2024-11-11
283,283,163,755,1169,Delayed,2025-04-22,2025-03-15
284,284,280,1199,4598,In Transit,2025-03-23,2024-07-25
285,285,465,1705,3074,In Transit,2024-07-27,2024-06-08
286,286,433,1992,2658,Delayed,2024-01-04,2024-08-05
287,287,332,1175,2245,Delivered,2024-05-02,2024-05-16
288,288,325,784,4821,Cancelled,2025-01-10,2024-04-24
289,289,61,1199,4183,Cancelled,2024-04-23,2024-06-15
290,290,201,1109,3582,Delayed,2024-05-16,2024-12-14
291,291,363,815,1551,Cancelled,2024-04-30,2024-04-08
292,292,34,1778,4282,Delayed,2024-12-16,2024-02-09
293,293,472,1164,1683,Delayed,2025-01-28,2024-03-10
294,294,208,392,1923,Cancelled,2024-08-12,2024-07-28
295,295,468,83,2754,Delayed,2024-03-30,2025-02-06
296,296,223,1837,2799,Delivered,2024-10-28,2024-04-19
297,297,157,1050,3934,In Transit,2024-10-01,2024-04-14
298,298,171,1436,4685,Delayed,2025-05-08,2024-12-28
299,299,448,777,3169,Delivered,2024-05-30,2024-11-27
300,300,114,338,4883,In Transit,2024-05-14,2024-03-08
301,301,179,1875,1123,Cancelled,2025-03-15,2024-01-16
302,302,79,1843,1813,In Transit,2024-04-21,2024-04-16
303,303,15,679,2682,Delivered,2025-01-20,2025-03-16
304,304,286,699,2702,Cancelled,2025-04-02,2024-06-28
305,305,268,1362,3703,In Transit,2024-05-12,2024-03-17
306,306,243,1213,4669,In Transit,2024-12-20,2024-05-10
307,307,380,420,1105,Delivered,2024-02-11,2024-12-05
308,308,274,335,2008,Delivered,2024-11-04,2024-03-06
309,309,30,931,2253,In Transit,2024-06-22,2024-08-18
310,310,64,561,77,In Transit,2024-10-08,2024-06-18
311,311,394,568,3704,In Transit,2024-11-23,2024-10-21
312,312,378,164,3131,In Transit,2025-04-13,2024-02-15
313,313,372,677,2577,Delayed,2024-03-11,2024-10-10
314,314,163,1985,2616,In Transit,2024-10-13,2024-05-24
315,315,409,613,164,In Transit,2025-03-13,2024-03-31
316,316,190,67,2092,Delayed,2024-09-29,2024-11-26
317,317,201,879,1313,Delivered,2024-10-10,2024-12-25
318,318,153,162,1494,Cancelled,2024-10-23,2024-03-24
319,319,94,86,2201,In Transit,2024-12-15,2025-02-22
320,320,491,1099,837,Cancelled,2024-05-22,2025-04-01
321,321,284,1629,2550,Delayed,2025-01-23,2024-06-08
322,322,54,1499,3072,Cancelled,2025-02-19,2024-10-27
323,323,167,368,3219,Delayed,2025-04-14,2025-02-24
324,324,55,1760,1172,In Transit,2025-04-09,2024-05-12
325,325,289,724,3666,Delayed,2024-12-29,2024-11-16
326,326,78,1796,858,Delivered,2025-04-30,2024-01-30
327,327,164,553,4239,In Transit,2024-03-13,2024-05-03
328,328,112,1651,1812,Cancelled,2025-02-06,2024-03-18
329,329,352,788,3809,Delivered,2025-01-04,2024-02-14
330,330,288,754,4496,Delayed,2025-04-29,2024-02-11
331,331,178,605,3516,Delivered,2025-05-14,2024-11-03
332,332,417,254,3466,Delayed,2024-06-11,2024-12-18
333,333,31,1627,1485,Cancelled,2024-08-03,2024-02-17
334,334,440,1001,1236,Delivered,2024-06-23,2025-04-05
335,335,346,208,3659,In Transit,2025-05-14,2024-11-24
336,336,451,1947,3046,In Transit,2024-05-02,2024-06-11
337,337,202,66,3331,In Transit,2024-01-30,2025-01-29
338,338,98,932,3841,Delayed,2024-11-22,2024-04-02
339,339,393,1720,480,In Transit,2024-07-12,2025-03-10
340,340,218,833,2021,Cancelled,2024-04-25,2025-05-15
341,341,65,1436,2615,In Transit,2024-10-22,2024-03-02
342,342,426,1941,3140,Delayed,2024-08-04,2025-04-16
343,343,322,838,1781,In Transit,2024-12-28,2025-03-12
344,344,324,658,125,Delayed,2024-06-08,2024-11-07
345,345,384,1099,3997,In Transit,2024-06-12,2025-04-13
346,346,365,1282,768,Delivered,2024-10-25,2024-10-19
347,347,230,395,1532,Delivered,2024-08-09,2025-02-19
348,348,304,638,924,Delivered,2024-10-07,2024-09-24
349,349,391,182,248,Cancelled,2024-02-04,2024-08-04
350,350,181,1959,2433,Cancelled,2024-05-30,2025-03-13
351,351,341,36,2140,Delayed,2024-08-03,2024-05-17
352,352,477,1883,4842,Cancelled,2024-10-28,2024-05-25
353,353,370,1603,1383,Delayed,2024-01-13,2024-08-11
354,354,112,1728,801,Delivered,2024-07-11,2024-06-28
355,355,263,1840,3514,Delivered,2025-05-10,2024-09-29
356,356,368,1095,2091,In Transit,2024-10-23,2024-03-01
357,357,470,1501,3331,In Transit,2024-11-13,2025-01-08
358,358,160,869,3744,Delayed,2024-04-03,2024-10-22
359,359,126,951,1656,In Transit,2024-12-24,2025-03-03
360,360,226,1244,957,In Transit,2024-12-27,2025-02-25
361,361,340,1181,3761,Delivered,2025-03-20,2024-10-19
362,362,455,1913,51,Delivered,2024-09-17,2025-02-07
363,363,160,1300,1175,Delivered,2025-03-17,2024-06-25
364,364,486,517,3798,In Transit,2024-10-30,2025-05-05
365,365,309,255,3992,Delayed,2024-06-07,2024-03-31
366,366,277,1014,3956,Delayed,2025-05-13,2024-01-08
367,367,340,1230,4318,Cancelled,2024-03-15,2024-08-18
368,368,142,591,3273,Delayed,2024-09-02,2024-10-20
369,369,491,270,1972,Delivered,2024-06-02,2024-10-19
370,370,95,180,1481,Cancelled,2025-02-02,2025-02-25
371,371,290,709,593,In Transit,2025-05-04,2025-05-13
372,372,250,1431,3866,In Transit,2025-04-15,2024-11-17
373,373,239,993,3359,Delivered,2024-10-06,2024-06-14
374,374,296,342,396,Delayed,2024-01-16,2024-08-15
375,375,126,1247,2846,Cancelled,2025-01-03,2024-04-13
376,376,124,635,2316,Delivered,2024-11-28,2025-05-07
377,377,217,203,2559,Cancelled,2025-03-10,2024-08-27
378,378,404,1805,916,Delayed,2024-10-19,2024-11-02
379,379,59,558,639,Delivered,2024-09-25,2024-05-24
380,380,456,1394,1094,In Transit,2024-06-23,2024-01-04
381,381,167,11,3330,In Transit,2024-08-28,2024-02-04
382,382,148,807,1189,Cancelled,2025-02-16,2025-04-25
383,383,241,1234,2697,In Transit,2024-04-18,2024-07-14
384,384,162,157,4376,Cancelled,2024-06-06,2024-06-06
385,385,116,189,2279,Cancelled,2024-04-24,2024-01-03
386,386,247,1375,170,Cancelled,2024-08-08,2024-05-11
387,387,358,1765,2890,Delayed,2025-02-09,2025-05-22
388,388,359,542,3207,Cancelled,2024-07-20,2024-10-25
389,389,108,1586,3416,Delayed,2025-03-19,2025-02-10
390,390,463,1424,4583,In Transit,2024-06-30,2024-03-18
391,391,306,76,1620,Cancelled,2024-06-17,2024-01-20
392,392,5,1915,3974,Delivered,2024-03-18,2024-05-15
393,393,402,391,3107,In Transit,2024-01-26,2024-08-14
394,394,141,1482,1395,Delayed,2024-01-13,2025-01-10
395,395,103,1639,3306,Delayed,2024-09-23,2024-10-18
396,396,51,1514,4360,Delivered,2025-05-08,2024-08-23
397,397,413,1721,4048,Delayed,2024-07-31,2025-05-14
398,398,192,1565,139,Delayed,2024-03-20,2025-04-01
399,399,25,1720,3164,Cancelled,2025-01-12,2024-04-28
400,400,75,1384,2642,In Transit,2024-01-18,2024-12-23
401,401,460,942,1035,In Transit,2025-01-21,2025-01-10
402,402,106,797,1084,Delivered,2024-09-07,2024-02-28
403,403,242,1525,4080,Delivered,2025-03-10,2024-05-05
404,404,11,1622,941,Delivered,2024-10-08,2024-03-29
405,405,412,1495,111,Cancelled,2024-10-26,2024-05-22
406,406,71,1218,4714,Delayed,2025-05-15,2024-07-26
407,407,470,1981,1166,Cancelled,2024-02-13,2025-04-19
408,408,220,1839,2167,In Transit,2025-01-27,2025-04-10
409,409,437,800,4361,Delayed,2024-04-02,2024-08-23
410,410,208,254,4442,Delivered,2025-04-07,2025-03-21
411,411,306,679,573,Delivered,2025-05-04,2024-08-27
412,412,24,1952,4313,Delivered,2024-03-10,2024-05-05
413,413,244,778,1728,Cancelled,2024-09-26,2024-01-06
414,414,386,1132,126,Delivered,2024-11-22,2024-09-16
415,415,211,264,1369,In Transit,2024-03-19,2024-03-19
416,416,332,609,4705,Delivered,2024-02-07,2025-01-23
417,417,97,1208,3650,In Transit,2025-01-07,2025-01-17
418,418,33,1450,3214,Delivered,2024-01-29,2025-04-22
419,419,145,480,2377,Delivered,2025-03-26,2024-09-27
420,420,176,19,3420,In Transit,2024-10-13,2024-01-25
421,421,307,1882,2035,Cancelled,2025-03-08,2025-02-16
422,422,91,895,1067,Delivered,2024-01-04,2024-12-03
423,423,363,1100,679,In Transit,2025-02-09,2024-06-15
424,424,258,1544,2257,Cancelled,2024-03-27,2024-09-21
425,425,113,447,1678,Delayed,2024-02-11,2025-04-05
426,426,24,285,1606,In Transit,2025-01-10,2025-03-21
427,427,373,1931,632,In Transit,2024-10-01,2025-04-26
428,428,96,88,4505,In Transit,2024-07-23,2024-04-03
429,429,157,1828,1372,Delayed,2024-09-23,2025-05-27
430,430,115,1786,473,In Transit,2024-05-16,2024-02-23
431,431,224,589,48,Cancelled,2024-03-02,2025-05-01
432,432,15,1430,1490,Delayed,2024-12-28,2024-06-24
433,433,32,1410,4371,Delivered,2025-01-26,2024-03-14
434,434,266,447,3409,Delivered,2024-02-14,2024-05-04
435,435,421,1366,761,Cancelled,2024-01-28,2025-02-24
436,436,152,1987,2579,Delivered,2024-03-07,2024-05-19
437,437,94,411,1235,Delivered,2025-03-31,2025-03-03
438,438,186,556,3689,Cancelled,2024-01-24,2025-02-02
439,439,78,1228,4358,In Transit,2024-01-05,2024-10-29
440,440,391,1322,4138,In Transit,2024-02-09,2024-03-06
441,441,168,1467,1370,Cancelled,2024-12-09,2025-01-23
442,442,201,862,2390,Cancelled,2025-01-19,2024-10-29
443,443,26,623,4517,Cancelled,2025-01-01,2024-03-25
444,444,353,1874,4651,Delayed,2024-09-14,2024-11-29
445,445,439,474,3101,In Transit,2024-05-21,2024-08-21
446,446,157,1702,4138,Cancelled,2025-03-23,2024-04-20
447,447,22,674,929,In Transit,2025-01-22,2024-07-28
448,448,37,1003,2937,In Transit,2024-05-23,2025-05-31
449,449,254,280,3716,Cancelled,2024-01-05,2024-09-19
450,450,119,843,3832,Delayed,2024-09-07,2025-01-29
451,451,262,648,1723,Delivered,2024-07-25,2024-05-24
452,452,271,1670,3479,Delayed,2025-04-24,2024-09-01
453,453,10,991,1925,In Transit,2024-12-20,2024-06-13
454,454,234,36,653,Cancelled,2024-08-21,2024-02-27
455,455,39,158,3055,Delivered,2024-10-11,2024-11-23
456,456,375,877,866,Delivered,2024-07-17,2025-04-26
