route_id,origin_city,destination_city,distance_km,estimated_time_hr,transport_mode,fuel_cost_usd,risk_score
79,Toronto,Singapore,5576,91.52,Cargo Van,1187.1,3.81
80,London,Berlin,7191,60.39,Ship,943.58,9.1
81,Berlin,Toronto,11588,55.59,Truck,3231.87,1.43
82,Toronto,Toronto,845,22.83,Ship,2060.6,3.6
83,London,London,9160,39.69,Air Freight,4930.1,1.35
84,Singapore,Sydney,11137,94.49,Cargo Van,825.2,2.18
85,Dubai,Dubai,8037,35.64,Truck,665.13,2.66
86,Berlin,Singapore,9983,36.37,Cargo Van,2235.96,2.23
87,Sydney,Sydney,7873,85.43,Air Freight,6852.65,3.6
88,Sydney,Mumbai,351,33.41,Truck,6545.47,9.5
89,Mumbai,Toronto,8520,41.63,Air Freight,2163.72,4.84
90,Sydney,Toronto,11600,79.83,Air Freight,5659.11,7.89
91,Toronto,Dubai,3056,18.37,Truck,2960.18,9.02
92,London,New York,5454,58.49,Air Freight,2286.46,8.08
93,Mumbai,London,10413,11.03,Air Freight,378.17,5.32
94,Singapore,London,4411,40.9,Truck,1841.02,1.47
95,Singapore,Singapore,3684,20.9,Ship,1757.88,9.37
96,Toronto,Berlin,11655,55.82,Ship,2258.64,8.19
97,Sydney,Singapore,3885,2.72,Cargo Van,3582.49,4.42
98,Toronto,Dubai,9776,64.67,Cargo Van,3034.7,6.64
99,Toronto,Toronto,9549,94.14,Air Freight,4910.18,2.16
100,New York,Toronto,9168,20.03,Air Freight,7254.83,1.12
101,Mumbai,Mumbai,1042,29.87,Ship,3381.38,3.2
102,Dubai,Dubai,2533,66.31,Cargo Van,3767.94,4.97
103,Dubai,Toronto,1792,51.62,Truck,6437.0,2.75
104,Mumbai,Singapore,4616,76.49,Air Freight,421.78,8.77
105,Singapore,Berlin,5272,19.59,Truck,3477.75,5.22
106,Berlin,Berlin,3376,56.58,Air Freight,6414.62,3.69
107,New York,Mumbai,3847,79.67,Air Freight,1357.79,8.16
108,Mumbai,New York,2004,21.58,Cargo Van,6660.16,2.45
109,Berlin,London,8096,80.22,Ship,2390.47,4.63
110,London,New York,7193,94.46,Ship,1087.7,6.86
111,Singapore,New York,10983,17.46,Air Freight,620.95,4.43
112,Singapore,Toronto,2105,21.91,Truck,4771.54,8.71
113,Mumbai,Mumbai,8941,46.29,Ship,2352.92,7.36
114,London,Dubai,9179,70.71,Truck,5734.37,9.46
115,Berlin,Singapore,8525,50.08,Truck,3668.03,9.79
116,Toronto,New York,946,91.33,Ship,2702.95,2.94
117,Singapore,New York,6394,54.94,Air Freight,830.24,2.03
118,Singapore,Dubai,6418,79.89,Cargo Van,7015.4,2.02
119,Berlin,Berlin,9566,5.47,Air Freight,4073.38,3.38
120,Singapore,New York,10155,50.22,Cargo Van,2377.63,3.81
121,Berlin,Mumbai,3466,12.99,Truck,1543.53,6.76
122,Mumbai,Mumbai,8162,36.95,Ship,1091.37,8.57
123,Mumbai,New York,10328,65.9,Cargo Van,6341.9,8.82
124,Singapore,New York,2194,94.29,Air Freight,6544.89,8.79
125,Berlin,Singapore,6788,22.15,Ship,6719.92,1.5
126,Mumbai,Berlin,3379,45.81,Air Freight,2593.05,1.48
127,Toronto,Singapore,6571,83.38,Truck,2463.73,7.7
128,New York,Mumbai,560,7.52,Truck,6252.44,3.48
129,Singapore,Sydney,10429,8.51,Truck,6144.87,7.92
130,Dubai,Singapore,5144,66.39,Truck,6673.85,1.28
131,Berlin,New York,4286,94.79,Cargo Van,3556.78,6.09
132,Singapore,Toronto,3591,71.3,Cargo Van,288.12,5.52
133,Singapore,Sydney,11038,68.49,Air Freight,2005.26,9.8
134,Mumbai,Sydney,7460,88.84,Ship,7111.12,5.76
135,Mumbai,Mumbai,6261,11.78,Air Freight,5218.29,5.76
136,Berlin,Mumbai,6800,52.36,Air Freight,3908.92,3.0
137,Singapore,Dubai,2853,4.3,Truck,4368.22,7.74
138,Toronto,London,2670,34.51,Ship,266.72,4.07
139,Mumbai,Berlin,5371,47.7,Cargo Van,6477.45,1.06
140,Toronto,London,1789,22.25,Cargo Van,6209.15,9.0
141,Mumbai,Toronto,11865,9.95,Ship,5075.63,8.46
142,Mumbai,Singapore,504,52.39,Truck,5553.29,4.1
143,Dubai,London,7901,21.38,Air Freight,4554.2,8.05
144,Dubai,Mumbai,2867,18.42,Cargo Van,5634.52,4.38
145,Sydney,London,1553,49.19,Cargo Van,5649.19,4.01
146,Mumbai,Singapore,1011,2.6,Air Freight,993.62,5.66
147,Toronto,New York,4584,76.75,Air Freight,2443.19,8.18
148,Berlin,New York,10758,22.19,Ship,3344.89,9.49
149,Toronto,Mumbai,6590,88.95,Truck,4300.32,3.64
150,Singapore,Berlin,5605,33.13,Ship,2740.85,2.45
151,New York,Toronto,7507,91.2,Truck,1963.57,4.71
152,New York,Dubai,6143,19.64,Air Freight,1240.45,3.12
153,London,Sydney,6733,52.7,Cargo Van,3711.25,5.0
154,London,Sydney,3235,75.18,Truck,2710.87,2.2
155,Berlin,Berlin,261,58.43,Truck,7696.68,3.06
156,Sydney,New York,10705,69.0,Truck,7976.1,9.25
157,Toronto,Mumbai,1670,33.3,Air Freight,5297.88,2.4
158,Mumbai,Mumbai,9278,50.83,Truck,4099.83,6.17
159,London,Singapore,11218,93.09,Truck,2351.27,1.1
160,London,Sydney,5472,13.26,Truck,4889.29,3.64
161,Sydney,Sydney,7870,95.25,Ship,6315.96,9.56
162,Toronto,Mumbai,5537,45.3,Air Freight,566.33,3.44
163,Toronto,Dubai,7572,74.81,Cargo Van,2392.81,5.34
164,Mumbai,Dubai,11157,64.0,Air Freight,1340.61,8.6
165,Singapore,London,7669,25.82,Cargo Van,2207.93,8.11
166,London,Berlin,5838,51.33,Air Freight,3810.13,1.65
167,Toronto,London,1131,10.36,Cargo Van,6501.79,5.17
168,Toronto,Berlin,4116,74.82,Truck,1566.25,7.56
169,London,Berlin,7173,93.25,Truck,2862.94,2.1
170,Dubai,Toronto,5385,89.83,Cargo Van,4170.76,9.47
171,Dubai,Toronto,1300,84.6,Air Freight,2031.36,9.52
172,Singapore,Singapore,582,19.13,Air Freight,6199.12,7.8
173,Toronto,Berlin,7752,50.64,Cargo Van,3795.46,2.54
174,Toronto,Berlin,4064,66.36,Truck,4086.0,9.8
175,Singapore,New York,9903,13.99,Cargo Van,537.92,4.86
176,Toronto,London,420,34.45,Truck,1938.6,4.47
177,New York,Sydney,4266,91.31,Truck,5756.32,7.04
178,Singapore,Mumbai,7038,34.76,Truck,7617.93,2.72
179,Singapore,New York,3645,53.51,Air Freight,6859.79,5.69
180,New York,New York,9810,44.69,Truck,5991.63,1.76
181,Dubai,London,11920,46.2,Air Freight,6576.67,4.75
182,Toronto,Singapore,10354,41.98,Truck,466.18,3.26
183,Sydney,Berlin,6798,24.32,Ship,4502.27,9.61
184,London,Berlin,4711,63.81,Cargo Van,1150.19,1.04
185,Singapore,Berlin,8161,89.36,Ship,6881.78,6.79
186,Sydney,Berlin,9290,49.97,Cargo Van,5193.39,1.76
187,London,Mumbai,3114,64.24,Ship,4185.69,3.76
188,Toronto,Singapore,3968,38.23,Ship,4757.43,9.56
189,Mumbai,Sydney,1086,27.59,Ship,7638.36,3.18
190,Singapore,New York,7873,21.06,Air Freight,4523.85,8.97
191,New York,Toronto,270,6.02,Truck,7523.62,6.84
192,Berlin,London,165,72.93,Cargo Van,2000.56,4.72
193,Mumbai,Dubai,6330,4.75,Air Freight,6307.25,7.72
194,New York,Berlin,3538,66.21,Air Freight,7453.38,7.27
195,Mumbai,London,171,29.76,Ship,1997.84,2.44
196,Sydney,London,3938,73.96,Cargo Van,274.17,8.02
197,New York,Toronto,7405,70.95,Ship,3416.83,8.06
198,Mumbai,Singapore,3966,79.26,Air Freight,3519.94,7.19
199,Berlin,Toronto,9185,70.29,Cargo Van,1638.78,1.17
200,Toronto,Mumbai,10639,38.66,Cargo Van,2685.64,6.3
201,London,Sydney,9407,17.37,Truck,4108.56,1.95
202,Singapore,Singapore,4734,3.53,Cargo Van,4564.63,1.83
203,Mumbai,Berlin,10545,49.78,Cargo Van,4861.03,8.52
204,Sydney,Singapore,6935,94.12,Ship,2269.78,6.16
205,New York,Singapore,11736,54.01,Air Freight,798.62,3.09
206,Mumbai,London,4415,13.1,Truck,7856.78,4.54
207,Dubai,London,5690,3.45,Cargo Van,2384.37,2.93
208,Toronto,Singapore,9865,92.57,Truck,7891.66,3.71
209,Berlin,Dubai,3247,41.01,Truck,6325.17,5.86
210,Mumbai,Singapore,9525,83.55,Cargo Van,2839.75,5.34
211,New York,Mumbai,3076,60.35,Ship,7451.63,2.82
212,Sydney,Mumbai,5857,89.33,Ship,5681.32,2.21
213,Berlin,Berlin,10352,68.63,Truck,2663.71,2.43
214,New York,Sydney,10401,29.9,Ship,7292.22,6.25
215,Toronto,Dubai,8984,51.33,Truck,2672.67,2.2
216,Toronto,Toronto,4947,67.97,Ship,1808.52,6.84
217,Dubai,London,6366,24.05,Ship,7390.9,9.89
218,Dubai,Berlin,10743,64.48,Truck,5556.23,2.38
219,New York,Singapore,393,85.99,Truck,7142.65,2.12
220,Sydney,Berlin,2978,75.78,Cargo Van,5395.08,6.65
221,London,Toronto,5207,60.25,Ship,7508.91,6.18
222,New York,Dubai,676,78.96,Truck,6622.0,6.81
223,London,Sydney,9767,59.32,Ship,3432.14,3.96
224,Toronto,Sydney,2433,52.35,Ship,5507.89,5.8
225,Sydney,New York,2976,55.06,Ship,1970.55,5.84
226,New York,Berlin,2739,8.07,Ship,217.11,3.83
227,Mumbai,Toronto,6266,72.15,Cargo Van,2248.14,6.77
228,Mumbai,Berlin,5424,2.68,Ship,4715.62,1.45
229,Berlin,Dubai,9102,7.07,Ship,7559.31,1.92
230,London,Berlin,2673,65.83,Truck,5180.13,4.66
231,Mumbai,Mumbai,4291,29.24,Ship,6725.78,8.23
232,Toronto,London,11531,3.01,Truck,3887.68,1.1
233,London,Singapore,1140,90.0,Air Freight,5291.1,6.2
234,Berlin,Toronto,2557,62.39,Truck,5754.92,5.72
235,Singapore,Toronto,1508,74.17,Air Freight,6532.71,8.24
236,Mumbai,Dubai,8285,63.08,Truck,4710.35,1.43
237,Dubai,New York,8576,27.09,Ship,1341.33,1.38
238,Dubai,Sydney,11121,14.09,Air Freight,3260.77,5.97
239,Sydney,Mumbai,2900,94.75,Cargo Van,6845.96,4.7
240,Toronto,Dubai,9764,15.79,Cargo Van,5101.94,1.39
241,London,Sydney,11689,90.14,Ship,2859.3,9.96
242,London,New York,2754,82.12,Cargo Van,7502.08,6.99
243,Dubai,Berlin,7515,52.58,Air Freight,6487.25,5.05
244,Toronto,Mumbai,868,54.32,Cargo Van,7500.64,7.49
245,New York,Singapore,2852,83.82,Truck,2129.71,2.3
246,London,Toronto,6968,23.01,Truck,7772.23,8.82
247,Mumbai,Sydney,7580,9.97,Cargo Van,1598.67,3.6
248,New York,Mumbai,807,76.49,Truck,3048.94,7.39
249,Dubai,Singapore,7486,39.89,Ship,7175.27,7.62
250,Mumbai,Mumbai,9205,95.86,Cargo Van,1388.28,7.92
251,Toronto,London,9436,79.9,Ship,1782.08,5.98
252,Berlin,Toronto,8717,60.81,Ship,3007.8,6.85
253,Berlin,Toronto,10252,85.76,Cargo Van,6098.25,2.05
254,Toronto,Sydney,3964,36.88,Ship,6208.57,7.6
255,Dubai,New York,11149,79.67,Ship,5324.36,3.39
256,London,Sydney,9486,6.03,Air Freight,4310.89,7.73
257,Sydney,Berlin,8045,46.58,Air Freight,6665.95,7.4
258,Dubai,Singapore,9777,67.76,Truck,1108.94,7.87
259,London,Sydney,1932,34.1,Cargo Van,6433.15,9.95
260,Mumbai,Sydney,7837,71.32,Truck,7161.0,7.74
261,Singapore,Toronto,5078,18.2,Air Freight,4221.03,1.71
262,London,Sydney,3328,8.54,Cargo Van,5537.96,9.22
263,Mumbai,Sydney,11828,7.94,Air Freight,2314.18,5.25
264,Sydney,Mumbai,1440,79.43,Cargo Van,1162.39,6.47
265,Berlin,New York,2213,40.86,Ship,2706.08,1.91
266,Sydney,Sydney,11714,85.26,Truck,3766.25,7.75
267,Berlin,Berlin,5814,6.02,Air Freight,3193.37,2.04
268,Dubai,Mumbai,1806,53.85,Air Freight,6241.77,3.04
269,Berlin,Mumbai,6645,82.59,Air Freight,3824.09,2.15
270,Berlin,Toronto,10919,47.7,Ship,3482.16,3.01
271,Dubai,Sydney,11228,53.75,Air Freight,2776.18,6.55
272,Mumbai,Dubai,980,61.91,Ship,3749.73,1.74
273,London,Berlin,11130,46.8,Truck,2483.62,1.15
274,Berlin,New York,7460,54.43,Air Freight,2291.45,4.36
275,Singapore,Dubai,9909,25.23,Ship,242.24,7.53
276,Singapore,Toronto,10371,55.81,Air Freight,5454.59,6.38
277,London,Sydney,11349,74.33,Ship,4778.59,7.88
278,New York,Dubai,4776,32.18,Cargo Van,1479.8,3.86
279,Berlin,New York,8896,90.49,Truck,5540.92,9.29
280,New York,Berlin,211,89.98,Ship,5216.22,9.8
281,Toronto,Toronto,313,89.96,Ship,2457.89,1.64
282,Dubai,Mumbai,5776,57.96,Ship,5423.09,2.01
283,New York,Dubai,10239,65.43,Cargo Van,6724.95,8.62
284,Mumbai,Mumbai,5406,27.51,Ship,4155.37,5.35
285,Berlin,Mumbai,3594,31.94,Cargo Van,6920.89,3.46
286,Toronto,Berlin,6486,41.65,Ship,7747.27,3.88
287,London,Berlin,10109,36.89,Cargo Van,5540.66,6.16
288,Singapore,Berlin,5872,10.82,Air Freight,1291.36,5.89
289,Dubai,New York,6333,51.95,Ship,2348.69,2.99
290,London,London,7642,72.59,Cargo Van,660.5,7.08
291,London,Mumbai,3393,39.24,Ship,540.9,2.82
292,Toronto,Toronto,11709,54.46,Air Freight,6721.76,6.73
293,London,New York,8277,67.51,Ship,929.94,8.06
294,Sydney,Toronto,10309,40.36,Ship,2927.3,4.02
295,Mumbai,London,4310,41.51,Truck,373.14,1.38
296,Dubai,Toronto,5777,62.66,Cargo Van,582.82,5.47
297,Mumbai,Toronto,424,15.73,Ship,1750.74,3.74
298,Mumbai,Mumbai,6275,22.39,Ship,2707.72,3.35
299,Dubai,Toronto,10753,57.41,Truck,4931.38,6.04
300,Dubai,Dubai,6045,21.81,Ship,2570.66,4.45
301,New York,Singapore,9654,46.77,Truck,2037.74,4.8
302,Dubai,Berlin,7246,40.79,Truck,5280.56,6.84
303,New York,Berlin,10274,36.98,Truck,3956.39,1.9
304,Dubai,London,6308,39.96,Truck,4554.39,8.34
305,Dubai,Dubai,968,54.34,Air Freight,7964.95,7.07
306,Singapore,London,11233,32.89,Truck,2179.58,9.73
307,Toronto,Mumbai,11634,29.39,Ship,5803.89,2.94
308,Toronto,Mumbai,7475,28.18,Truck,6196.06,8.6
309,Toronto,Mumbai,3086,29.41,Air Freight,6817.07,2.54
310,Mumbai,Singapore,6852,72.48,Truck,1338.05,5.64
311,Mumbai,Berlin,7145,13.94,Truck,6801.78,4.74
312,Mumbai,Mumbai,3111,47.57,Air Freight,5139.69,8.2
313,Singapore,Berlin,2628,57.37,Ship,7879.24,3.26
314,Dubai,Dubai,4864,88.12,Ship,1050.63,2.74
315,Berlin,Dubai,7819,39.39,Ship,3152.33,5.3
316,Mumbai,New York,2488,62.55,Truck,4160.27,4.32
317,Mumbai,Toronto,10304,56.35,Cargo Van,6922.46,7.93
318,Singapore,Singapore,2478,74.56,Air Freight,4839.8,3.41
319,Toronto,Singapore,4583,76.7,Ship,7527.2,6.61
320,Toronto,London,9465,40.19,Truck,5431.66,2.01
321,Mumbai,London,1721,82.52,Truck,1704.43,7.76
322,Toronto,New York,2603,4.42,Truck,3476.56,1.1
323,Toronto,Dubai,10004,64.6,Truck,6258.3,3.86
324,London,Singapore,451,10.21,Ship,2241.3,3.86
325,Mumbai,Sydney,7930,59.86,Ship,5089.62,8.66
326,New York,London,10121,39.09,Cargo Van,2180.26,9.1
327,Dubai,Singapore,527,76.49,Cargo Van,7279.25,5.94
328,Dubai,Dubai,1385,16.47,Cargo Van,3746.24,3.76
329,London,Sydney,8347,87.55,Ship,1321.72,5.36
330,Singapore,Mumbai,8333,84.81,Truck,4080.77,6.54
331,Singapore,Berlin,6342,89.78,Truck,6849.7,1.1
332,Berlin,London,9460,39.86,Ship,7583.25,8.24
333,Berlin,Singapore,6638,42.16,Air Freight,5108.96,7.11
334,Berlin,Berlin,8357,64.31,Ship,5098.03,4.77
335,New York,Berlin,8425,80.98,Air Freight,7756.02,8.58
336,Singapore,Singapore,2073,15.73,Air Freight,2560.62,4.74
337,Sydney,London,6198,50.11,Cargo Van,2519.81,4.59
338,Mumbai,Berlin,9568,91.89,Cargo Van,4671.84,5.76
339,Sydney,Toronto,4433,35.83,Truck,7587.44,5.67
340,London,New York,7930,87.36,Cargo Van,6945.27,6.33
341,New York,New York,10536,12.71,Cargo Van,5653.44,2.6
342,London,Mumbai,10099,18.15,Ship,5167.02,2.0
343,Dubai,New York,8219,87.55,Truck,3967.73,5.02
344,Dubai,Toronto,4982,45.78,Truck,4966.8,3.15
345,New York,Singapore,5328,7.71,Air Freight,2458.01,4.57
346,Berlin,Berlin,1848,56.02,Ship,1764.85,6.75
347,Mumbai,Dubai,2941,49.2,Air Freight,6194.89,9.93
348,London,Singapore,3243,30.87,Truck,6274.77,2.95
349,Dubai,Sydney,5038,20.21,Ship,5509.24,5.4
350,Berlin,London,6706,79.77,Ship,548.63,9.9
351,Dubai,Berlin,1370,43.66,Air Freight,2462.78,4.95
352,New York,Dubai,8421,16.1,Truck,6159.07,3.13
353,New York,Berlin,11125,52.16,Cargo Van,4380.13,1.74
354,Singapore,Berlin,1442,22.97,Truck,6375.05,8.13
355,Singapore,Mumbai,9714,79.88,Air Freight,2947.7,3.66
356,London,Singapore,70,62.73,Air Freight,5246.79,8.37
357,Mumbai,Singapore,9436,51.22,Ship,750.9,4.4
358,Dubai,Sydney,7110,29.76,Truck,4713.01,3.61
359,Toronto,New York,7646,81.55,Ship,1544.59,3.47
360,Toronto,Berlin,5211,80.27,Ship,673.53,8.58
361,Dubai,Berlin,10262,21.86,Air Freight,5524.76,3.03
362,New York,London,5160,78.03,Truck,2790.48,9.57
363,New York,Berlin,3550,72.54,Air Freight,1278.41,4.35
364,New York,Dubai,4639,47.02,Truck,6340.6,3.12
365,Toronto,Mumbai,9269,71.18,Cargo Van,4057.13,4.85
366,Mumbai,Dubai,5145,26.81,Truck,6680.83,6.78
367,Mumbai,Toronto,3423,36.24,Air Freight,6148.23,8.06
368,Mumbai,Dubai,1584,14.57,Air Freight,6080.21,2.45
369,Singapore,London,8343,4.88,Air Freight,7164.31,1.33
370,London,Berlin,652,40.34,Air Freight,7076.5,8.54
371,Dubai,Dubai,5323,59.29,Air Freight,6020.99,7.4
372,London,Dubai,5735,69.39,Ship,2604.53,8.56
373,New York,London,10383,12.44,Air Freight,5583.26,5.13
374,Berlin,Singapore,5694,92.47,Cargo Van,3580.35,1.38
375,Toronto,Dubai,6744,7.28,Truck,2934.18,8.99
376,Sydney,Singapore,10884,69.9,Ship,3741.53,9.61
377,New York,Dubai,5573,22.54,Ship,5523.7,5.24
378,London,Berlin,5078,3.18,Air Freight,6893.06,6.29
379,Mumbai,London,7375,17.42,Air Freight,7302.86,7.59
380,Dubai,New York,10991,82.64,Cargo Van,3070.62,3.9
381,Toronto,New York,505,39.91,Cargo Van,2334.73,7.94
382,Singapore,Toronto,2237,20.72,Cargo Van,1471.49,2.53
383,Sydney,London,11323,36.09,Air Freight,7689.44,5.81
384,Berlin,Singapore,7878,24.46,Air Freight,6993.0,1.49
385,Berlin,Toronto,4478,65.92,Ship,615.83,5.6
386,Toronto,Toronto,5635,92.7,Cargo Van,3571.0,1.82
387,London,Mumbai,2952,65.89,Air Freight,703.2,5.68
388,Berlin,Mumbai,703,84.04,Cargo Van,1117.93,9.99
389,London,London,5797,40.97,Ship,7719.8,7.57
390,Sydney,Sydney,3599,85.0,Cargo Van,7781.45,7.71
391,Dubai,Singapore,7511,47.6,Air Freight,617.8,5.85
392,Dubai,Dubai,1562,90.6,Cargo Van,2671.5,3.96
393,Singapore,Berlin,7541,55.75,Cargo Van,7229.47,6.23
394,New York,Sydney,10094,60.0,Air Freight,1020.87,3.0
395,Berlin,London,3651,20.67,Cargo Van,4058.12,4.3
396,Toronto,London,336,40.34,Truck,6330.57,4.67
397,Mumbai,Dubai,10842,82.5,Cargo Van,5944.3,6.08
398,Singapore,Toronto,10296,3.82,Cargo Van,2695.98,5.89
399,Sydney,Toronto,132,93.59,Air Freight,2796.74,9.36
400,Mumbai,New York,11919,54.58,Truck,4205.63,4.41
401,Toronto,Dubai,9656,94.73,Ship,5191.08,4.01
402,Mumbai,Toronto,6243,45.92,Cargo Van,3039.69,2.28
403,Mumbai,Sydney,10520,61.89,Ship,5436.2,8.47
404,Dubai,Sydney,11510,48.05,Air Freight,5043.93,5.37
405,Singapore,Berlin,2676,2.15,Cargo Van,3698.94,2.95
406,Sydney,Dubai,6933,79.89,Truck,7740.85,2.14
407,Toronto,Dubai,8708,19.32,Cargo Van,4570.22,1.97
408,Dubai,London,10464,84.04,Air Freight,6680.13,4.78
409,Mumbai,Singapore,7007,51.36,Air Freight,7088.18,4.51
410,Singapore,Berlin,4054,88.87,Air Freight,2469.65,7.77
411,London,Toronto,9197,78.95,Cargo Van,4407.02,4.16
412,Mumbai,Dubai,1259,45.92,Truck,7301.66,2.65
413,Dubai,London,7232,9.51,Air Freight,4859.23,1.95
414,Singapore,Berlin,1493,84.89,Air Freight,4533.0,6.99
415,New York,Singapore,7018,58.28,Air Freight,7783.02,1.49
416,New York,Sydney,5714,53.21,Ship,5954.88,6.68
417,Toronto,Mumbai,984,73.65,Truck,5056.82,5.88
418,Dubai,Toronto,2706,5.2,Air Freight,7660.81,4.86
419,Sydney,Dubai,8924,73.82,Ship,6222.75,2.07
420,Singapore,Berlin,11687,54.63,Cargo Van,6017.87,2.9
421,London,Berlin,1865,67.07,Truck,7022.22,4.72
422,Berlin,Dubai,11101,12.17,Cargo Van,1570.95,4.23
423,London,Mumbai,6268,24.2,Truck,1133.63,7.08
424,Sydney,Dubai,1020,89.0,Truck,6091.29,3.93
425,Dubai,New York,8622,80.73,Air Freight,1343.63,8.99
426,London,Mumbai,1315,57.44,Truck,4837.04,9.79
427,Singapore,Mumbai,447,12.66,Air Freight,2425.11,8.44
428,London,Dubai,10168,32.8,Cargo Van,4791.22,8.73
429,Berlin,Sydney,5206,51.48,Air Freight,2202.58,7.68
430,Mumbai,New York,9344,94.55,Truck,2448.7,7.13
431,Berlin,New York,5879,73.41,Cargo Van,1602.48,2.61
432,New York,Berlin,9890,35.69,Cargo Van,4870.2,8.33
